time;LL_circuit_vLoadA;LL_circuit_vLoadB;LL_circuit_vLoadC;LL_circuit_iLineA;LL_circuit_iLineB;LL_circuit_iLineC;
0.002180;1.129899;0.114458;-1.244358;0.564951;0.057228;-0.622180;
0.002190;1.127437;0.118761;-1.246197;0.563719;0.059379;-0.623100;
0.002200;1.124962;0.123062;-1.248024;0.562482;0.061530;-0.624013;
0.002210;1.122476;0.127362;-1.249838;0.561239;0.063680;-0.624920;
0.002220;1.119979;0.131661;-1.251640;0.559991;0.065829;-0.625821;
0.002230;1.117471;0.135959;-1.253430;0.558736;0.067978;-0.626716;
0.002240;1.114951;0.140256;-1.255207;0.557477;0.070127;-0.627605;
0.002250;1.112420;0.144551;-1.256971;0.556211;0.072275;-0.628487;
0.002260;1.109878;0.148845;-1.258723;0.554940;0.074422;-0.629363;
0.002270;1.107325;0.153138;-1.260463;0.553663;0.076568;-0.630233;
0.002280;1.104761;0.157429;-1.262190;0.552381;0.078714;-0.631096;
0.002290;1.102185;0.161719;-1.263904;0.551094;0.080859;-0.631953;
0.002300;1.099599;0.166008;-1.265606;0.549800;0.083003;-0.632804;
0.002310;1.097001;0.170295;-1.267296;0.548501;0.085146;-0.633649;
0.002320;1.094392;0.174580;-1.268972;0.547197;0.087289;-0.634487;
0.002330;1.091773;0.178864;-1.270636;0.545887;0.089431;-0.635319;
0.002340;1.089142;0.183146;-1.272288;0.544572;0.091572;-0.636145;
0.002350;1.086501;0.187426;-1.273927;0.543251;0.093712;-0.636965;
0.002360;1.083848;0.191705;-1.275553;0.541925;0.095852;-0.637778;
0.002370;1.081185;0.195982;-1.277167;0.540593;0.097990;-0.638585;
0.002380;1.078511;0.200257;-1.278768;0.539256;0.100127;-0.639385;
0.002390;1.075826;0.204530;-1.280356;0.537914;0.102264;-0.640179;
0.002400;1.073131;0.208801;-1.281931;0.536566;0.104400;-0.640967;
0.002410;1.070425;0.213070;-1.283494;0.535213;0.106534;-0.641748;
0.002420;1.067708;0.217337;-1.285044;0.533855;0.108668;-0.642524;
0.002430;1.064980;0.221602;-1.286582;0.532491;0.110800;-0.643292;
0.002440;1.062242;0.225865;-1.288107;0.531122;0.112932;-0.644055;
0.002450;1.059493;0.230126;-1.289618;0.529747;0.115062;-0.644811;
0.002460;1.056734;0.234384;-1.291118;0.528368;0.117191;-0.645560;
0.002470;1.053964;0.238640;-1.292604;0.526983;0.119319;-0.646303;
0.002480;1.051184;0.242894;-1.294078;0.525593;0.121446;-0.647040;
0.002490;1.048393;0.247146;-1.295538;0.524197;0.123572;-0.647770;
0.002500;1.045592;0.251395;-1.296986;0.522797;0.125697;-0.648494;
0.002510;1.042780;0.255642;-1.298421;0.521391;0.127820;-0.649212;
0.002520;1.039958;0.259886;-1.299844;0.519980;0.129942;-0.649923;
0.002530;1.037125;0.264128;-1.301253;0.518564;0.132063;-0.650628;
0.002540;1.034283;0.268367;-1.302649;0.517142;0.134183;-0.651326;
0.002550;1.031430;0.272603;-1.304033;0.515716;0.136301;-0.652018;
0.002560;1.028567;0.276837;-1.305404;0.514284;0.138418;-0.652703;
0.002570;1.025693;0.281068;-1.306762;0.512847;0.140533;-0.653382;
0.002580;1.022810;0.285297;-1.308106;0.511406;0.142648;-0.654055;
0.002590;1.019916;0.289523;-1.309438;0.509959;0.144761;-0.654721;
0.002600;1.017012;0.293745;-1.310757;0.508507;0.146872;-0.655380;
0.002610;1.014098;0.297965;-1.312063;0.507050;0.148982;-0.656033;
0.002620;1.011174;0.302183;-1.313357;0.505588;0.151091;-0.656680;
0.002630;1.008240;0.306397;-1.314637;0.504121;0.153198;-0.657320;
0.002640;1.005296;0.310608;-1.315904;0.502649;0.155303;-0.657953;
0.002650;1.002342;0.314816;-1.317158;0.501172;0.157407;-0.658580;
0.002660;0.999378;0.319021;-1.318399;0.499690;0.159510;-0.659201;
0.002670;0.996404;0.323223;-1.319627;0.498203;0.161611;-0.659815;
0.002680;0.993420;0.327422;-1.320842;0.496711;0.163710;-0.660422;
0.002690;0.990427;0.331617;-1.322044;0.495214;0.165808;-0.661023;
0.002700;0.987423;0.335809;-1.323233;0.493712;0.167904;-0.661618;
0.002710;0.984410;0.339998;-1.324408;0.492206;0.169999;-0.662206;
0.002720;0.981387;0.344184;-1.325571;0.490694;0.172091;-0.662787;
0.002730;0.978355;0.348366;-1.326721;0.489178;0.174182;-0.663362;
0.002740;0.975312;0.352545;-1.327857;0.487657;0.176272;-0.663930;
0.002750;0.972260;0.356720;-1.328981;0.486131;0.178360;-0.664492;
0.002760;0.969199;0.360892;-1.330091;0.484600;0.180446;-0.665047;
0.002770;0.966128;0.365061;-1.331188;0.483064;0.182530;-0.665595;
0.002780;0.963047;0.369225;-1.332272;0.481524;0.184612;-0.666137;
0.002790;0.959956;0.373386;-1.333343;0.479979;0.186693;-0.666673;
0.002800;0.956857;0.377544;-1.334400;0.478429;0.188771;-0.667202;
0.002810;0.953747;0.381698;-1.335445;0.476874;0.190848;-0.667724;
0.002820;0.950629;0.385848;-1.336476;0.475315;0.192923;-0.668239;
0.002830;0.947501;0.389994;-1.337494;0.473751;0.194996;-0.668748;
0.002840;0.944363;0.394136;-1.338499;0.472182;0.197068;-0.669251;
0.002850;0.941216;0.398275;-1.339491;0.470609;0.199137;-0.669747;
0.002860;0.938060;0.402409;-1.340469;0.469031;0.201204;-0.670236;
0.002870;0.934895;0.406540;-1.341434;0.467448;0.203269;-0.670718;
0.002880;0.931720;0.410666;-1.342386;0.465861;0.205333;-0.671194;
0.002890;0.928536;0.414789;-1.343325;0.464269;0.207394;-0.671664;
0.002900;0.925343;0.418907;-1.344250;0.462672;0.209453;-0.672126;
0.002910;0.922141;0.423022;-1.345162;0.461071;0.211510;-0.672583;
0.002920;0.918930;0.427132;-1.346061;0.459465;0.213565;-0.673032;
0.002930;0.915709;0.431238;-1.346947;0.457855;0.215618;-0.673475;
0.002940;0.912480;0.435339;-1.347819;0.456240;0.217669;-0.673911;
0.002950;0.909241;0.439437;-1.348678;0.454621;0.219718;-0.674340;
0.002960;0.905994;0.443530;-1.349524;0.452997;0.221764;-0.674763;
0.002970;0.902737;0.447619;-1.350356;0.451369;0.223809;-0.675179;
0.002980;0.899472;0.451703;-1.351175;0.449737;0.225851;-0.675589;
0.002990;0.896198;0.455783;-1.351981;0.448099;0.227891;-0.675992;
0.003000;0.892915;0.459858;-1.352773;0.446458;0.229929;-0.676388;
0.003010;0.889623;0.463929;-1.353552;0.444812;0.231964;-0.676777;
0.003020;0.886322;0.467995;-1.354317;0.443162;0.233997;-0.677160;
0.003030;0.883013;0.472057;-1.355070;0.441507;0.236028;-0.677536;
0.003040;0.879695;0.476114;-1.355808;0.439848;0.238056;-0.677906;
0.003050;0.876368;0.480166;-1.356534;0.438184;0.240083;-0.678268;
0.003060;0.873032;0.484214;-1.357246;0.436517;0.242106;-0.678624;
0.003070;0.869688;0.488256;-1.357944;0.434844;0.244128;-0.678974;
0.003080;0.866335;0.492294;-1.358630;0.433168;0.246147;-0.679316;
0.003090;0.862974;0.496327;-1.359301;0.431487;0.248163;-0.679652;
0.003100;0.859604;0.500356;-1.359960;0.429803;0.250177;-0.679981;
0.003110;0.856226;0.504379;-1.360605;0.428113;0.252189;-0.680304;
0.003120;0.852839;0.508397;-1.361236;0.426420;0.254198;-0.680620;
0.003130;0.849444;0.512411;-1.361855;0.424722;0.256205;-0.680929;
0.003140;0.846040;0.516419;-1.362459;0.423021;0.258209;-0.681231;
0.003150;0.842629;0.520422;-1.363050;0.421315;0.260211;-0.681527;
0.003160;0.839208;0.524420;-1.363628;0.419604;0.262210;-0.681815;
0.003170;0.835780;0.528413;-1.364192;0.417890;0.264206;-0.682098;
0.003180;0.832343;0.532400;-1.364743;0.416172;0.266200;-0.682373;
0.003190;0.828898;0.536383;-1.365281;0.414449;0.268191;-0.682642;
0.003200;0.825445;0.540360;-1.365805;0.412723;0.270180;-0.682904;
0.003210;0.821983;0.544332;-1.366315;0.410992;0.272166;-0.683159;
0.003220;0.818514;0.548298;-1.366812;0.409257;0.274149;-0.683407;
0.003230;0.815036;0.552259;-1.367295;0.407518;0.276129;-0.683649;
0.003240;0.811551;0.556215;-1.367765;0.405776;0.278107;-0.683884;
0.003250;0.808057;0.560165;-1.368222;0.404029;0.280082;-0.684112;
0.003260;0.804555;0.564109;-1.368665;0.402278;0.282054;-0.684334;
0.003270;0.801046;0.568048;-1.369094;0.400523;0.284024;-0.684548;
0.003280;0.797528;0.571981;-1.369510;0.398764;0.285990;-0.684756;
0.003290;0.794003;0.575909;-1.369912;0.397002;0.287954;-0.684957;
0.003300;0.790470;0.579831;-1.370301;0.395235;0.289915;-0.685152;
0.003310;0.786929;0.583747;-1.370676;0.393465;0.291874;-0.685340;
0.003320;0.783380;0.587658;-1.371038;0.391690;0.293829;-0.685520;
0.003330;0.779824;0.591563;-1.371386;0.389912;0.295781;-0.685695;
0.003340;0.776260;0.595462;-1.371721;0.388130;0.297731;-0.685862;
0.003350;0.772688;0.599355;-1.372042;0.386344;0.299677;-0.686023;
0.003360;0.769108;0.603242;-1.372350;0.384554;0.301621;-0.686176;
0.003370;0.765521;0.607123;-1.372644;0.382761;0.303561;-0.686323;
0.003380;0.761927;0.610998;-1.372925;0.380963;0.305499;-0.686464;
0.003390;0.758325;0.614867;-1.373192;0.379162;0.307433;-0.686597;
0.003400;0.754715;0.618730;-1.373445;0.377358;0.309365;-0.686724;
0.003410;0.751098;0.622587;-1.373685;0.375549;0.311294;-0.686844;
0.003420;0.747473;0.626438;-1.373911;0.373737;0.313219;-0.686957;
0.003430;0.743841;0.630283;-1.374124;0.371921;0.315141;-0.687063;
0.003440;0.740202;0.634121;-1.374323;0.370101;0.317060;-0.687163;
0.003450;0.736556;0.637953;-1.374509;0.368278;0.318977;-0.687256;
0.003460;0.732902;0.641779;-1.374681;0.366451;0.320890;-0.687342;
0.003470;0.729241;0.645599;-1.374840;0.364621;0.322799;-0.687421;
