time;GEN_generator_omegaPu;GEN_generator_dtheta;GEN_generator_UStatorPu;GEN_generator_PGenPu;GEN_voltageRegulator_EfdPu;GEN_governor_PmPu;GEN_pss_VPssPu;
0.005820;1.000000;1.919776;0.916121;0.604207;0.867791;0.602729;-0.000004;
0.005840;1.000000;1.919776;0.916144;0.604176;0.865489;0.602729;-0.000004;
0.005860;1.000000;1.919776;0.916161;0.604141;0.863845;0.602729;-0.000004;
0.005880;1.000000;1.919776;0.916171;0.604102;0.862741;0.602730;-0.000004;
0.005900;1.000000;1.919776;0.916178;0.604060;0.862065;0.602730;-0.000004;
0.005920;1.000000;1.919776;0.916182;0.604015;0.861711;0.602730;-0.000004;
0.005940;1.000000;1.919776;0.916183;0.603969;0.861585;0.602730;-0.000004;
0.005960;1.000000;1.919776;0.916182;0.603922;0.861608;0.602730;-0.000004;
0.005980;1.000000;1.919776;0.916181;0.603875;0.861716;0.602730;-0.000004;
0.006000;1.000000;1.919776;0.916180;0.603827;0.861864;0.602730;-0.000004;
0.006020;1.000000;1.919776;0.916178;0.603779;0.862027;0.602730;-0.000004;
0.006040;1.000000;1.919776;0.916176;0.603731;0.862200;0.602730;-0.000004;
0.006060;1.000000;1.919776;0.916174;0.603683;0.862397;0.602730;-0.000004;
0.006080;1.000000;1.919776;0.916171;0.603635;0.862652;0.602730;-0.000004;
0.006100;1.000000;1.919776;0.916168;0.603587;0.863018;0.602730;-0.000004;
0.006120;1.000000;1.919776;0.916162;0.603537;0.863561;0.602730;-0.000004;
0.006140;1.000000;1.919776;0.916154;0.603486;0.864363;0.602730;-0.000004;
0.006160;1.000000;1.919776;0.916142;0.603432;0.865514;0.602730;-0.000004;
0.006180;1.000000;1.919776;0.916126;0.603377;0.867113;0.602730;-0.000004;
0.006200;1.000000;1.919776;0.916105;0.603318;0.869261;0.602730;-0.000004;
0.006220;1.000000;1.919776;0.916077;0.603255;0.872058;0.602730;-0.000004;
0.006240;1.000000;1.919776;0.916041;0.603188;0.875602;0.602730;-0.000004;
0.006260;1.000000;1.919776;0.915997;0.603117;0.879982;0.602730;-0.000005;
0.006280;1.000000;1.919776;0.915944;0.603040;0.885276;0.602730;-0.000005;
0.006300;1.000000;1.919776;0.915881;0.602959;0.891547;0.602730;-0.000005;
0.006320;1.000000;1.919776;0.915808;0.602873;0.898844;0.602730;-0.000005;
0.006340;1.000000;1.919776;0.915725;0.602781;0.907192;0.602730;-0.000005;
0.006360;1.000000;1.919775;0.915630;0.602685;0.916598;0.602730;-0.000005;
0.006380;1.000000;1.919775;0.915526;0.602584;0.927048;0.602730;-0.000005;
0.006400;1.000000;1.919775;0.915411;0.602479;0.938503;0.602730;-0.000005;
0.006420;1.000000;1.919775;0.915287;0.602371;0.950902;0.602730;-0.000005;
