time;SM_circuit_vTermA;SM_circuit_vTermB;SM_circuit_vTermC;SM_circuit_iStatorA;SM_circuit_iStatorB;SM_circuit_iStatorC;SM_circuit_Wr;SM_circuit_Te;
0.002700;0.162300;-0.615649;0.453349;-0.339146;0.133887;0.205259;0.999977;0.260244;
0.002710;0.163837;-0.615703;0.451866;-0.340898;0.134241;0.206657;0.999977;0.262155;
0.002720;0.165381;-0.615760;0.450379;-0.342647;0.134591;0.208057;0.999977;0.264071;
0.002730;0.166933;-0.615818;0.448885;-0.344395;0.134936;0.209459;0.999977;0.265990;
0.002740;0.168491;-0.615878;0.447386;-0.346140;0.135278;0.210862;0.999976;0.267914;
0.002750;0.170057;-0.615939;0.445882;-0.347883;0.135615;0.212268;0.999976;0.269842;
0.002760;0.171630;-0.616002;0.444372;-0.349623;0.135948;0.213675;0.999976;0.271773;
0.002770;0.173210;-0.616066;0.442856;-0.351361;0.136278;0.215084;0.999976;0.273709;
0.002780;0.174797;-0.616132;0.441335;-0.353097;0.136603;0.216494;0.999975;0.275648;
0.002790;0.176391;-0.616200;0.439809;-0.354830;0.136924;0.217906;0.999975;0.277592;
0.002800;0.177993;-0.616269;0.438277;-0.356561;0.137241;0.219320;0.999975;0.279539;
