time;EmtFlt_circuit_iSrcA;EmtFlt_circuit_iSrcB;EmtFlt_circuit_iSrcC;EmtFlt_circuit_iFaultA;EmtFlt_circuit_vBusA;EmtFlt_circuit_vBusB;EmtFlt_circuit_vBusC;
0.002740;0.480713;0.186583;-0.667297;0.000001;0.961425;0.373166;-1.334591;
0.002750;0.479162;0.188665;-0.667827;0.000001;0.958323;0.377329;-1.335651;
0.002760;0.477606;0.190744;-0.668351;0.000001;0.955211;0.381488;-1.336698;
0.002770;0.476046;0.192822;-0.668868;0.000001;0.952090;0.385643;-1.337732;
0.002780;0.474481;0.194897;-0.669378;0.000001;0.948959;0.389794;-1.338753;
0.002790;0.472911;0.196971;-0.669882;0.000001;0.945819;0.393942;-1.339761;
0.002800;0.471336;0.199043;-0.670379;0.000001;0.942670;0.398085;-1.340755;
0.002810;0.469757;0.201113;-0.670870;0.000001;0.939512;0.402225;-1.341736;
0.002820;0.468173;0.203181;-0.671354;0.000001;0.936344;0.406361;-1.342704;
0.002830;0.466584;0.205247;-0.671831;0.000001;0.933167;0.410492;-1.343659;
0.002840;0.464991;0.207310;-0.672302;0.000001;0.929981;0.414620;-1.344600;
0.002850;0.463394;0.209372;-0.672766;0.000001;0.926785;0.418743;-1.345529;
0.002860;0.461791;0.211432;-0.673223;0.000001;0.923581;0.422863;-1.346443;
0.002870;0.460184;0.213489;-0.673674;0.000001;0.920367;0.426978;-1.347345;
0.002880;0.458573;0.215545;-0.674118;0.000001;0.917144;0.431089;-1.348233;
0.002890;0.456957;0.217598;-0.674555;0.000001;0.913912;0.435196;-1.349108;
0.002900;0.455337;0.219650;-0.674986;0.000001;0.910671;0.439298;-1.349970;
0.002910;0.453712;0.221699;-0.675410;0.000001;0.907422;0.443397;-1.350818;
0.002920;0.452082;0.223746;-0.675828;0.000001;0.904163;0.447490;-1.351653;
0.002930;0.450448;0.225790;-0.676239;0.000001;0.900895;0.451580;-1.352475;
0.002940;0.448810;0.227833;-0.676643;0.000001;0.897618;0.455665;-1.353283;
0.002950;0.447167;0.229873;-0.677040;0.000001;0.894333;0.459745;-1.354078;
0.002960;0.445520;0.231911;-0.677431;0.000001;0.891039;0.463821;-1.354860;
0.002970;0.443869;0.233947;-0.677815;0.000001;0.887736;0.467892;-1.355628;
0.002980;0.442213;0.235980;-0.678193;0.000001;0.884424;0.471959;-1.356383;
0.002990;0.440552;0.238011;-0.678563;0.000001;0.881103;0.476021;-1.357124;
0.003000;0.438888;0.240040;-0.678927;0.000001;0.877774;0.480078;-1.357852;
0.003010;0.437219;0.242066;-0.679285;0.000001;0.874436;0.484131;-1.358567;
0.003020;0.435546;0.244090;-0.679635;0.000001;0.871089;0.488179;-1.359268;
