time;NETWORK__BUS____1_TN_Urms;NETWORK__BUS____4_TN_Urms;NETWORK__BUS____9_TN_Urms;NETWORK__BUS___14_TN_Urms;GEN____1_SM_machine_omegaPu;GEN____1_SM_machine_PGenPu;GEN____2_SM_machine_omegaPu;GEN____8_SM_machine_omegaPu;
0.001650;1.030267;1.134025;1.445934;1.444145;1.000007;0.196679;1.000003;0.999947;
0.001660;1.060320;1.136829;1.449233;1.449940;1.000007;0.202563;1.000003;0.999947;
0.001670;1.090084;1.139607;1.452502;1.455647;1.000007;0.207888;1.000003;0.999946;
0.001680;1.119092;1.142403;1.455757;1.461261;1.000007;0.212514;1.000003;0.999946;
0.001690;1.146881;1.145261;1.459013;1.466770;1.000007;0.216316;1.000003;0.999946;
0.001700;1.172993;1.148220;1.462285;1.472164;1.000007;0.219186;1.000003;0.999945;
0.001710;1.196990;1.151318;1.465585;1.477434;1.000007;0.221046;1.000003;0.999945;
0.001720;1.218460;1.154585;1.468925;1.482568;1.000007;0.221842;1.000003;0.999944;
0.001730;1.237022;1.158049;1.472317;1.487554;1.000007;0.221556;1.000003;0.999944;
0.001740;1.252346;1.161733;1.475771;1.492380;1.000007;0.220202;1.000003;0.999944;
0.001750;1.264151;1.165654;1.479294;1.497034;1.000007;0.217826;1.000003;0.999943;
0.001760;1.272217;1.169823;1.482894;1.501505;1.000007;0.214505;1.000003;0.999943;
0.001770;1.276395;1.174247;1.486576;1.505781;1.000007;0.210343;1.000003;0.999943;
0.001780;1.276605;1.178926;1.490344;1.509851;1.000007;0.205469;1.000003;0.999942;
0.001790;1.272845;1.183854;1.494201;1.513702;1.000007;0.200028;1.000003;0.999942;
0.001800;1.265192;1.189020;1.498148;1.517326;1.000007;0.194176;1.000003;0.999941;
0.001810;1.253799;1.194409;1.502184;1.520713;1.000007;0.188077;1.000003;0.999941;
0.001820;1.238898;1.199997;1.506306;1.523853;1.000007;0.181892;1.000003;0.999941;
0.001830;1.220798;1.205759;1.510511;1.526739;1.000007;0.175778;1.000003;0.999940;
0.001840;1.199876;1.211662;1.514794;1.529363;1.000007;0.169878;1.000003;0.999940;
0.001850;1.176577;1.217671;1.519146;1.531721;1.000007;0.164323;1.000003;0.999940;
0.001860;1.151404;1.223747;1.523561;1.533807;1.000007;0.159223;1.000003;0.999939;
0.001870;1.124908;1.229846;1.528028;1.535617;1.000007;0.154670;1.000003;0.999939;
0.001880;1.097683;1.235923;1.532536;1.537150;1.000007;0.150734;1.000003;0.999939;
0.001890;1.070348;1.241931;1.537073;1.538405;1.000007;0.147464;1.000003;0.999938;
0.001900;1.043534;1.247821;1.541625;1.539382;1.000007;0.144890;1.000003;0.999938;
0.001910;1.017869;1.253543;1.546179;1.540082;1.000007;0.143025;1.000003;0.999938;
0.001920;0.993958;1.259046;1.550717;1.540510;1.000007;0.141865;1.000003;0.999937;
0.001930;0.972362;1.264282;1.555225;1.540668;1.000007;0.141394;1.000003;0.999937;
0.001940;0.953579;1.269201;1.559684;1.540564;1.000007;0.141585;1.000003;0.999937;
0.001950;0.938022;1.273756;1.564079;1.540204;1.000007;0.142405;1.000003;0.999937;
0.001960;0.926006;1.277903;1.568389;1.539596;1.000007;0.143814;1.000003;0.999936;
0.001970;0.917733;1.281600;1.572599;1.538750;1.000007;0.145768;1.000003;0.999936;
0.001980;0.913290;1.284807;1.576688;1.537677;1.000007;0.148220;1.000003;0.999936;
0.001990;0.912651;1.287489;1.580638;1.536387;1.000007;0.151122;1.000003;0.999936;
0.002000;0.915689;1.289616;1.584431;1.534894;1.000008;0.154421;1.000003;0.999935;
0.002010;0.922188;1.291158;1.588050;1.533211;1.000008;0.158063;1.000003;0.999935;
0.002020;0.931867;1.292096;1.591475;1.531351;1.000008;0.161990;1.000003;0.999935;
0.002030;0.944395;1.292410;1.594689;1.529330;1.000008;0.166140;1.000003;0.999935;
0.002040;0.959411;1.292088;1.597677;1.527164;1.000008;0.170446;1.000003;0.999934;
0.002050;0.976533;1.291123;1.600421;1.524867;1.000008;0.174835;1.000003;0.999934;
0.002060;0.995377;1.289513;1.602907;1.522455;1.000008;0.179227;1.000003;0.999934;
0.002070;1.015553;1.287260;1.605121;1.519946;1.000008;0.183539;1.000003;0.999934;
0.002080;1.036676;1.284373;1.607049;1.517354;1.000008;0.187682;1.000003;0.999933;
0.002090;1.058363;1.280864;1.608679;1.514696;1.000008;0.191564;1.000003;0.999933;
0.002100;1.080234;1.276751;1.610001;1.511989;1.000008;0.195094;1.000003;0.999933;
0.002110;1.101915;1.272056;1.611004;1.509247;1.000008;0.198181;1.000003;0.999933;
0.002120;1.123035;1.266806;1.611681;1.506485;1.000008;0.200739;1.000003;0.999933;
0.002130;1.143228;1.261033;1.612026;1.503720;1.000008;0.202692;1.000003;0.999932;
0.002140;1.162139;1.254771;1.612032;1.500963;1.000008;0.203974;1.000003;0.999932;
0.002150;1.179424;1.248057;1.611696;1.498229;1.000008;0.204535;1.000003;0.999932;
0.002160;1.194756;1.240933;1.611016;1.495530;1.000008;0.204342;1.000003;0.999932;
0.002170;1.207834;1.233444;1.609991;1.492877;1.000008;0.203381;1.000003;0.999932;
0.002180;1.218384;1.225635;1.608621;1.490282;1.000008;0.201661;1.000003;0.999931;
0.002190;1.226169;1.217554;1.606910;1.487752;1.000008;0.199211;1.000003;0.999931;
0.002200;1.230995;1.209251;1.604860;1.485298;1.000008;0.196082;1.000003;0.999931;
0.002210;1.232717;1.200776;1.602477;1.482924;1.000008;0.192346;1.000003;0.999931;
0.002220;1.231244;1.192181;1.599768;1.480639;1.000008;0.188093;1.000003;0.999931;
0.002230;1.226545;1.183515;1.596741;1.478446;1.000008;0.183427;1.000003;0.999930;
0.002240;1.218650;1.174829;1.593405;1.476349;1.000008;0.178464;1.000003;0.999930;
0.002250;1.207660;1.166173;1.589770;1.474350;1.000008;0.173330;1.000003;0.999930;
0.002260;1.193741;1.157594;1.585848;1.472450;1.000008;0.168152;1.000003;0.999930;
0.002270;1.177129;1.149140;1.581653;1.470650;1.000008;0.163058;1.000003;0.999930;
0.002280;1.158127;1.140853;1.577197;1.468946;1.000008;0.158172;1.000003;0.999929;
0.002290;1.137106;1.132775;1.572495;1.467338;1.000008;0.153609;1.000003;0.999929;
