time;NETWORK_B0_Urms;MACHINE_machine_omegaPu;MACHINE_machine_PGenPu;MACHINE_machine_UStatorPu;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;
0.002460;0.968774;0.999998;0.490317;0.968758;-0.493957;-0.203268;0.697226;
0.002470;0.970050;0.999998;0.491493;0.970034;-0.492543;-0.206061;0.698604;
0.002480;0.971443;0.999998;0.492713;0.971427;-0.491109;-0.208834;0.699943;
0.002490;0.972948;0.999998;0.493972;0.972932;-0.489655;-0.211584;0.701239;
0.002500;0.974560;0.999998;0.495268;0.974545;-0.488180;-0.214311;0.702491;
0.002510;0.976274;0.999998;0.496594;0.976259;-0.486685;-0.217012;0.703696;
0.002520;0.978084;0.999998;0.497947;0.978070;-0.485167;-0.219684;0.704851;
0.002530;0.979985;0.999998;0.499322;0.979972;-0.483628;-0.222326;0.705955;
0.002540;0.981969;0.999998;0.500714;0.981957;-0.482067;-0.224937;0.707004;
0.002550;0.984031;0.999998;0.502119;0.984019;-0.480484;-0.227514;0.707998;
0.002560;0.986162;0.999998;0.503530;0.986151;-0.478878;-0.230056;0.708935;
0.002570;0.988356;0.999997;0.504943;0.988346;-0.477250;-0.232562;0.709812;
0.002580;0.990605;0.999997;0.506354;0.990596;-0.475599;-0.235031;0.710630;
0.002590;0.992902;0.999997;0.507756;0.992893;-0.473926;-0.237460;0.711386;
0.002600;0.995238;0.999997;0.509144;0.995230;-0.472230;-0.239850;0.712080;
0.002610;0.997606;0.999997;0.510514;0.997599;-0.470512;-0.242199;0.712711;
0.002620;0.999996;0.999997;0.511861;0.999990;-0.468772;-0.244507;0.713279;
0.002630;1.002402;0.999997;0.513179;1.002397;-0.467010;-0.246773;0.713783;
0.002640;1.004813;0.999997;0.514463;1.004810;-0.465226;-0.248997;0.714223;
0.002650;1.007223;0.999997;0.515708;1.007220;-0.463422;-0.251177;0.714599;
0.002660;1.009622;0.999997;0.516911;1.009621;-0.461597;-0.253315;0.714912;
0.002670;1.012002;0.999997;0.518066;1.012002;-0.459751;-0.255410;0.715161;
