time;GEN_A1_generator_omegaPu;GEN_A1_generator_PGen;GEN_A1_generator_QGen;GEN_A1_generator_UStatorPu;GEN_A1_voltageRegulator_EfdPu;GEN_A2_generator_omegaPu;GEN_A2_generator_PGen;GEN_A2_generator_QGen;GEN_A2_generator_UStatorPu;GEN_B1_generator_omegaPu;GEN_B1_generator_PGen;GEN_B1_generator_QGen;GEN_B1_generator_UStatorPu;GEN_B1_voltageRegulator_EfdPu;GEN_B2_generator_omegaPu;GEN_B2_generator_PGen;GEN_B2_generator_QGen;GEN_B2_generator_UStatorPu;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_2_value;NETWORK_A_HV1_Upu_value;NETWORK_A_HV2_Upu_value;NETWORK_A_HV3_Upu_value;NETWORK_B_HV1_Upu_value;NETWORK_B_HV2_Upu_value;NETWORK_A_LD1_Upu_value;NETWORK_B_LD2_Upu_value;NETWORK_A_HV1_numcc_value;NETWORK_B_HV1_numcc_value;
2.030686;1.002942;746.132477;-3.460668;1.006366;2.115972;1.002967;152.360069;23.543185;1.015256;0.996955;452.165843;38.379965;1.001598;1.558197;0.996915;107.379284;11.386946;1.003183;1.002947;0.996947;1.002947;0.996947;1.004486;1.004061;1.004258;0.997343;0.997693;0.991365;0.990268;0.000000;1.000000;
2.242172;1.003401;746.570903;-3.303944;1.006551;2.112272;1.003399;152.127408;23.414889;1.015346;0.996480;451.752637;38.183438;1.001229;1.565577;0.996462;107.487488;11.530205;1.002926;1.003400;0.996477;1.003400;0.996477;1.004655;1.004209;1.004417;0.996992;0.997375;0.991532;0.989953;0.000000;1.000000;
2.432509;1.003781;747.055232;-3.174406;1.006706;2.109169;1.003773;151.815316;23.317094;1.015421;0.996087;451.238017;37.981812;1.000898;1.572191;0.996080;107.732777;11.680833;1.002717;1.003780;0.996086;1.003780;0.996086;1.004797;1.004333;1.004549;0.996679;0.997100;0.991671;0.989681;0.000000;1.000000;
2.622847;1.004131;747.461054;-3.048295;1.006851;2.106264;1.004123;151.569988;23.217499;1.015489;0.995726;450.748693;37.767351;1.000584;1.578477;0.995723;107.968992;11.847372;1.002535;1.004130;0.995726;1.004130;0.995726;1.004930;1.004448;1.004672;0.996383;0.996844;0.991802;0.989427;0.000000;1.000000;
3.003521;1.004736;748.037250;-2.825169;1.007071;2.101864;1.004730;151.231283;23.031740;1.015573;0.995107;449.992892;37.349507;1.000067;1.588803;0.995105;108.319536;12.189297;1.002280;1.004735;0.995106;1.004735;0.995106;1.005128;1.004616;1.004855;0.995905;0.996443;0.991997;0.989030;0.000000;1.000000;
3.384196;1.005257;748.472693;-2.646889;1.007215;2.098986;1.005252;150.944741;22.881686;1.015607;0.994575;449.411622;36.981240;0.999679;1.596569;0.994575;108.603452;12.501452;1.002126;1.005256;0.994575;1.005256;0.994575;1.005254;1.004718;1.004968;0.995549;0.996156;0.992122;0.988745;0.000000;1.000000;
3.764871;1.005709;748.811175;-2.514457;1.007299;2.097308;1.005704;150.687256;22.771263;1.015609;0.994118;448.955684;36.676155;0.999401;1.602129;0.994119;108.852827;12.766301;1.002045;1.005708;0.994118;1.005708;0.994118;1.005325;1.004771;1.005029;0.995299;0.995964;0.992191;0.988554;0.000000;1.000000;
4.526220;1.006477;749.324910;-2.336860;1.007379;2.095706;1.006472;150.240026;22.627283;1.015577;0.993346;448.259359;36.207955;0.999032;1.609521;0.993350;109.284464;13.180149;1.001984;1.006476;0.993347;1.006476;0.993347;1.005386;1.004807;1.005078;0.994972;0.995727;0.992252;0.988320;0.000000;1.000000;
5.287570;1.007062;749.641613;-2.270668;1.007366;2.095980;1.007057;149.891446;22.582166;1.015519;0.992766;447.831493;35.936603;0.998884;1.612466;0.992770;109.620224;13.427912;1.002023;1.007061;0.992767;1.007061;0.992767;1.005365;1.004775;1.005051;0.994850;0.995660;0.992231;0.988254;0.000000;1.000000;
6.810269;1.007856;750.014465;-2.284200;1.007283;2.097632;1.007852;149.412944;22.621154;1.015439;0.991989;447.357696;35.726423;0.998831;1.613530;0.991993;110.078552;13.623987;1.002123;1.007855;0.991990;1.007855;0.991990;1.005281;1.004689;1.004965;0.994817;0.995674;0.992148;0.988267;0.000000;1.000000;
8.332968;1.008185;750.127822;-2.393657;1.007197;2.099341;1.008183;149.209821;22.739074;1.015417;0.991677;447.247776;35.804987;0.998933;1.611486;0.991679;110.270881;13.553811;1.002184;1.008185;0.991677;1.008185;0.991677;1.005204;1.004624;1.004894;0.994913;0.995760;0.992072;0.988352;0.000000;1.000000;
9.855667;1.008402;750.207409;-2.474012;1.007145;2.100398;1.008400;149.077059;22.825405;1.015411;0.991474;447.169618;35.874013;0.998995;1.610254;0.991475;110.395602;13.489075;1.002205;1.008402;0.991474;1.008402;0.991474;1.005157;1.004586;1.004852;0.994969;0.995805;0.992026;0.988397;0.000000;1.000000;
12.901065;1.008586;750.275508;-2.549558;1.007099;2.101313;1.008585;148.964118;22.906100;1.015410;0.991302;447.103019;35.942613;0.999047;1.609203;0.991303;110.500532;13.423922;1.002217;1.008586;0.991302;1.008586;0.991302;1.005118;1.004555;1.004817;0.995016;0.995842;0.991987;0.988434;0.000000;1.000000;
15.946463;1.008671;750.306929;-2.587078;1.007077;2.101746;1.008671;148.911771;22.946016;1.015410;0.991224;447.072251;35.977861;0.999072;1.608716;0.991224;110.548614;13.390202;1.002220;1.008671;0.991224;1.008671;0.991224;1.005099;1.004541;1.004800;0.995038;0.995858;0.991969;0.988449;0.000000;1.000000;
22.037259;1.008723;750.325720;-2.611030;1.007064;2.102015;1.008723;148.880130;22.971414;1.015411;0.991177;447.054102;36.000651;0.999087;1.608417;0.991177;110.577181;13.368342;1.002221;1.008723;0.991177;1.008723;0.991177;1.005087;1.004532;1.004790;0.995051;0.995867;0.991957;0.988459;0.000000;1.000000;
28.128055;1.008738;750.331348;-2.618529;1.007060;2.102098;1.008738;148.870582;22.979347;1.015411;0.991163;447.048760;36.007770;0.999091;1.608325;0.991163;110.585693;13.361508;1.002221;1.008738;0.991163;1.008738;0.991163;1.005084;1.004529;1.004787;0.995055;0.995870;0.991954;0.988461;0.000000;1.000000;
30.000000;1.008741;750.332352;-2.619897;1.007059;2.102113;1.008741;148.868860;22.980793;1.015412;0.991161;447.047813;36.009069;0.999092;1.608309;0.991161;110.587202;13.360261;1.002221;1.008741;0.991161;1.008741;0.991161;1.005083;1.004529;1.004786;0.995055;0.995870;0.991953;0.988462;0.000000;1.000000;
