time;NETWORK_B1_v_a;NETWORK_B1_Urms;NETWORK_LINE_i_a;NETWORK_LINE_Irms;
0.003930;0.562783;0.981769;0.196542;0.493724;
0.003940;0.558541;0.981698;0.194460;0.493728;
0.003950;0.554302;0.981629;0.192380;0.493734;
0.003960;0.550064;0.981563;0.190304;0.493740;
0.003970;0.545829;0.981499;0.188231;0.493748;
0.003980;0.541596;0.981438;0.186160;0.493756;
0.003990;0.537365;0.981380;0.184091;0.493764;
0.004000;0.533137;0.981324;0.182025;0.493774;
0.004010;0.528911;0.981271;0.179961;0.493784;
0.004020;0.524687;0.981220;0.177899;0.493794;
0.004030;0.520466;0.981171;0.175839;0.493805;
0.004040;0.516248;0.981125;0.173781;0.493817;
0.004050;0.512032;0.981082;0.171724;0.493829;
0.004060;0.507819;0.981040;0.169669;0.493841;
0.004070;0.503608;0.981001;0.167615;0.493854;
0.004080;0.499400;0.980964;0.165562;0.493867;
0.004090;0.495194;0.980930;0.163511;0.493881;
0.004100;0.490991;0.980897;0.161460;0.493894;
0.004110;0.486791;0.980867;0.159411;0.493908;
0.004120;0.482593;0.980839;0.157362;0.493922;
0.004130;0.478397;0.980813;0.155314;0.493937;
0.004140;0.474204;0.980788;0.153266;0.493951;
0.004150;0.470014;0.980766;0.151218;0.493965;
0.004160;0.465825;0.980745;0.149171;0.493980;
0.004170;0.461639;0.980727;0.147123;0.493994;
0.004180;0.457456;0.980710;0.145076;0.494009;
0.004190;0.453274;0.980695;0.143029;0.494023;
0.004200;0.449095;0.980681;0.140981;0.494038;
0.004210;0.444917;0.980669;0.138933;0.494052;
0.004220;0.440742;0.980659;0.136884;0.494066;
0.004230;0.436569;0.980650;0.134835;0.494081;
0.004240;0.432397;0.980642;0.132785;0.494095;
0.004250;0.428227;0.980636;0.130735;0.494109;
0.004260;0.424059;0.980631;0.128683;0.494122;
0.004270;0.419893;0.980628;0.126631;0.494136;
0.004280;0.415728;0.980626;0.124577;0.494149;
0.004290;0.411564;0.980625;0.122522;0.494162;
0.004300;0.407402;0.980625;0.120466;0.494175;
0.004310;0.403240;0.980626;0.118409;0.494188;
0.004320;0.399080;0.980628;0.116350;0.494200;
0.004330;0.394921;0.980631;0.114289;0.494213;
0.004340;0.390763;0.980635;0.112227;0.494225;
0.004350;0.386606;0.980640;0.110164;0.494236;
0.004360;0.382449;0.980646;0.108098;0.494247;
0.004370;0.378293;0.980652;0.106031;0.494258;
0.004380;0.374138;0.980659;0.103962;0.494269;
