time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_edPPu;GEN_generator_eqPPPu;GEN_generator_edPPPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_psiAgPu;GEN_generator_psiArgPu;GEN_generator_satDPu;GEN_generator_satQPu;GEN_generator_UPu;
1.025702;0.963152;1.002262;0.841874;0.545258;0.616618;0.456585;0.000000;0.000000;0.529783;0.671030;1.033765;1.032077;0.000000;
1.026624;0.963818;1.002338;0.841444;0.543899;0.613039;0.450840;0.000000;0.000000;0.526004;0.666244;1.037146;1.035289;0.000000;
1.027545;0.964506;1.002415;0.841003;0.542508;0.609569;0.445215;0.000000;0.000000;0.522342;0.661605;1.040602;1.038572;0.000000;
1.028467;0.965217;1.002491;0.840550;0.541086;0.606208;0.439709;0.000000;0.000000;0.518793;0.657110;1.044124;1.041918;0.000000;
1.029389;0.965949;1.002568;0.840087;0.539634;0.602951;0.434317;0.000000;0.000000;0.515352;0.652751;1.047704;1.045319;0.000000;
1.030310;0.966703;1.002644;0.839612;0.538152;0.599796;0.429039;0.000000;0.000000;0.512015;0.648526;1.051333;1.048766;0.000000;
1.031232;0.967480;1.002720;0.839127;0.536642;0.596739;0.423870;0.000000;0.000000;0.508780;0.644428;1.055004;1.052254;0.000000;
1.032153;0.968279;1.002797;0.838632;0.535104;0.593779;0.418809;0.000000;0.000000;0.505643;0.640454;1.058710;1.055775;0.000000;
1.033075;0.969099;1.002873;0.838127;0.533539;0.590911;0.413854;0.000000;0.000000;0.502599;0.636599;1.062446;1.059324;0.000000;
1.033997;0.969942;1.002949;0.837612;0.531947;0.588134;0.409000;0.000000;0.000000;0.499647;0.632859;1.066202;1.062892;0.000000;
1.034918;0.970807;1.003026;0.837087;0.530330;0.585446;0.404248;0.000000;0.000000;0.496783;0.629232;1.069978;1.066479;0.000000;
1.035840;0.971694;1.003102;0.836553;0.528688;0.582842;0.399593;0.000000;0.000000;0.494001;0.625709;1.073756;1.070068;0.000000;
1.036761;0.972603;1.003178;0.836010;0.527023;0.580322;0.395034;0.000000;0.000000;0.491308;0.622297;1.077559;1.073681;0.000000;
1.037683;0.973535;1.003255;0.835458;0.525334;0.577882;0.390568;0.000000;0.000000;0.488680;0.618969;1.081321;1.077255;0.000000;
1.038605;0.974488;1.003331;0.834897;0.523622;0.575520;0.386194;0.000000;0.000000;0.486146;0.615759;1.085132;1.080876;0.000000;
1.039526;0.975463;1.003407;0.834328;0.521888;0.573233;0.381909;0.000000;0.000000;0.483679;0.612634;1.088912;1.084466;0.000000;
1.040448;0.976461;1.003483;0.833751;0.520134;0.571020;0.377712;0.000000;0.000000;0.481284;0.609601;1.092681;1.088047;0.000000;
1.041369;0.977481;1.003560;0.833166;0.518359;0.568878;0.373599;0.000000;0.000000;0.478959;0.606655;1.096435;1.091613;0.000000;
1.042291;0.978522;1.003636;0.832573;0.516564;0.566805;0.369570;0.000000;0.000000;0.476700;0.603795;1.100171;1.095162;0.000000;
1.043213;0.979586;1.003712;0.831973;0.514750;0.564798;0.365622;0.000000;0.000000;0.474507;0.601017;1.103885;1.098691;0.000000;
1.044134;0.980672;1.003788;0.831365;0.512918;0.562856;0.361753;0.000000;0.000000;0.472377;0.598319;1.107576;1.102197;0.000000;
