time;CAPBUS_cap_p_v_0_;MACHINE_generator_terminal_i_0_;MACHINE_generator_omegaPu;MACHINE_generator_UStatorPu;MACHINE_generator_efdPu;MACHINE_generator_ifPu;MACHINE_voltageRegulator_EfdPu;
0.004440;0.453670;-0.225193;0.999989;0.945251;0.969704;0.951102;0.969704;
0.004460;0.445591;-0.218979;0.999989;0.944527;0.984186;0.950817;0.984186;
0.004480;0.436945;-0.212763;0.999989;0.944191;0.990917;0.950535;0.990917;
0.004500;0.427748;-0.206537;0.999989;0.944222;0.990289;0.950252;0.990289;
0.004520;0.418030;-0.200298;0.999989;0.944584;0.983057;0.949964;0.983057;
0.004540;0.407832;-0.194040;0.999989;0.945221;0.970301;0.949668;0.970301;
0.004560;0.397204;-0.187760;0.999989;0.946067;0.953397;0.949360;0.953397;
0.004580;0.386208;-0.181456;0.999989;0.947039;0.933956;0.949040;0.933956;
0.004600;0.374913;-0.175126;0.999989;0.948048;0.913773;0.948704;0.913773;
0.004620;0.363392;-0.168771;0.999989;0.948999;0.894757;0.948354;0.894757;
0.004640;0.351723;-0.162391;0.999989;0.949793;0.878867;0.947991;0.878867;
0.004660;0.339985;-0.155990;0.999989;0.950335;0.868040;0.947617;0.868040;
0.004680;0.328256;-0.149572;0.999989;0.950530;0.864122;0.947234;0.864122;
0.004700;0.316610;-0.143142;0.999988;0.950297;0.868798;0.946849;0.868798;
0.004720;0.305118;-0.136709;0.999988;0.949560;0.883533;0.946466;0.883533;
0.004740;0.293844;-0.130279;0.999988;0.948261;0.909516;0.946092;0.909516;
0.004760;0.282841;-0.123863;0.999988;0.946356;0.947611;0.945734;0.947611;
0.004780;0.272154;-0.117469;0.999988;0.943821;0.998320;0.945401;0.998320;
0.004800;0.261817;-0.111108;0.999988;0.940649;1.061761;0.945099;1.061761;
0.004820;0.251852;-0.104790;0.999988;0.936854;1.137650;0.944839;1.137650;
0.004840;0.242268;-0.098525;0.999988;0.932471;1.225304;0.944626;1.225304;
0.004860;0.233065;-0.092323;0.999988;0.927554;1.323651;0.944470;1.323651;
0.004880;0.224227;-0.086193;0.999988;0.922174;1.431260;0.944378;1.431260;
0.004900;0.215730;-0.080143;0.999988;0.916418;1.546369;0.944355;1.546369;
0.004920;0.207539;-0.074180;0.999988;0.910389;1.666945;0.944407;1.666945;
0.004940;0.199612;-0.068308;0.999988;0.904200;1.790729;0.944538;1.790729;
0.004960;0.191898;-0.062532;0.999988;0.897971;1.915309;0.944750;1.915309;
0.004980;0.184342;-0.056854;0.999988;0.891827;2.038187;0.945045;2.038187;
0.005000;0.176886;-0.051272;0.999988;0.885894;2.156852;0.945421;2.156852;
0.005020;0.169471;-0.045786;0.999988;0.880294;2.268850;0.945876;2.268850;
0.005040;0.162038;-0.040392;0.999988;0.875144;2.371859;0.946407;2.371859;
0.005060;0.154532;-0.035083;0.999988;0.870549;2.463753;0.947009;2.463753;
0.005080;0.146901;-0.029852;0.999988;0.866604;2.542661;0.947673;2.542661;
0.005100;0.139103;-0.024691;0.999988;0.863386;2.607020;0.948392;2.607020;
0.005120;0.131102;-0.019589;0.999988;0.860956;2.655612;0.949156;2.655612;
