time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_psi1d;GEN_generator_psi2q;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_sePu;GEN_generator_UPu;
1.086384;0.564708;1.005249;0.989155;0.691075;-0.121788;0.940548;-0.565151;0.091497;0.892435;
1.087408;0.566391;1.005214;0.989024;0.697599;-0.126118;0.941484;-0.553666;0.091396;0.894631;
1.088432;0.568062;1.005178;0.988896;0.703943;-0.130372;0.942423;-0.542403;0.091298;0.896771;
1.089456;0.569723;1.005143;0.988773;0.710112;-0.134553;0.943364;-0.531362;0.091203;0.898858;
1.090480;0.571371;1.005107;0.988652;0.716110;-0.138662;0.944307;-0.520538;0.091110;0.900892;
1.091504;0.573008;1.005071;0.988535;0.721943;-0.142701;0.945250;-0.509930;0.091020;0.902875;
1.092528;0.574634;1.005035;0.988420;0.727614;-0.146670;0.946194;-0.499534;0.090932;0.904807;
1.093552;0.576248;1.004999;0.988309;0.733128;-0.150571;0.947138;-0.489348;0.090846;0.906691;
1.094576;0.577850;1.004963;0.988201;0.738489;-0.154405;0.948081;-0.479369;0.090763;0.908528;
1.095600;0.579441;1.004927;0.988096;0.743701;-0.158174;0.949023;-0.469595;0.090682;0.910319;
1.096624;0.581020;1.004890;0.987993;0.748768;-0.161879;0.949962;-0.460021;0.090603;0.912064;
1.097648;0.582588;1.004854;0.987893;0.753694;-0.165522;0.950899;-0.450646;0.090527;0.913766;
1.098672;0.584143;1.004817;0.987796;0.758483;-0.169102;0.951833;-0.441466;0.090452;0.915425;
1.099696;0.585687;1.004781;0.987701;0.763138;-0.172622;0.952763;-0.432478;0.090380;0.917042;
1.100720;0.587219;1.004744;0.987609;0.767663;-0.176083;0.953690;-0.423680;0.090309;0.918618;
1.101744;0.588739;1.004707;0.987519;0.772061;-0.179486;0.954611;-0.415067;0.090240;0.920155;
1.102768;0.590247;1.004670;0.987432;0.776336;-0.182832;0.955528;-0.406638;0.090173;0.921653;
1.103792;0.591744;1.004633;0.987347;0.780491;-0.186121;0.956439;-0.398388;0.090108;0.923114;
1.104816;0.593228;1.004595;0.987264;0.784529;-0.189356;0.957345;-0.390315;0.090045;0.924538;
1.105840;0.594700;1.004558;0.987183;0.788454;-0.192537;0.958244;-0.382416;0.089983;0.925926;
1.106864;0.596160;1.004520;0.987105;0.792268;-0.195665;0.959136;-0.374688;0.089922;0.927280;
1.107888;0.597608;1.004483;0.987028;0.795974;-0.198741;0.960022;-0.367128;0.089864;0.928599;
1.108912;0.599044;1.004445;0.986953;0.799575;-0.201767;0.960900;-0.359732;0.089807;0.929886;
1.109936;0.600468;1.004407;0.986881;0.803075;-0.204742;0.961770;-0.352498;0.089751;0.931140;
1.110960;0.601880;1.004369;0.986810;0.806475;-0.207669;0.962632;-0.345423;0.089697;0.932363;
1.111984;0.603279;1.004331;0.986740;0.809779;-0.210547;0.963486;-0.338503;0.089644;0.933555;
1.113008;0.604666;1.004293;0.986673;0.812988;-0.213378;0.964331;-0.331736;0.089592;0.934718;
1.114032;0.606041;1.004254;0.986607;0.816107;-0.216163;0.965167;-0.325119;0.089542;0.935851;
1.115056;0.607403;1.004216;0.986543;0.819136;-0.218902;0.965993;-0.318649;0.089493;0.936956;
1.116080;0.608753;1.004177;0.986481;0.822078;-0.221597;0.966810;-0.312323;0.089446;0.938034;
1.117104;0.610091;1.004139;0.986420;0.824936;-0.224247;0.967617;-0.306138;0.089399;0.939084;
1.118128;0.611416;1.004100;0.986361;0.827712;-0.226855;0.968413;-0.300091;0.089354;0.940109;
1.119152;0.612729;1.004061;0.986303;0.830409;-0.229421;0.969199;-0.294180;0.089309;0.941108;
1.120176;0.614029;1.004022;0.986246;0.833027;-0.231945;0.969974;-0.288402;0.089266;0.942082;
1.121200;0.615317;1.003983;0.986191;0.835570;-0.234428;0.970739;-0.282754;0.089224;0.943032;
1.122224;0.616592;1.003944;0.986137;0.838040;-0.236871;0.971492;-0.277234;0.089183;0.943958;
1.123248;0.617854;1.003905;0.986084;0.840438;-0.239275;0.972233;-0.271839;0.089143;0.944862;
1.124272;0.619104;1.003865;0.986033;0.842766;-0.241641;0.972963;-0.266566;0.089104;0.945743;
1.125296;0.620341;1.003826;0.985983;0.845027;-0.243968;0.973680;-0.261412;0.089065;0.946602;
1.126320;0.621566;1.003787;0.985934;0.847221;-0.246258;0.974386;-0.256376;0.089028;0.947439;
1.128368;0.623976;1.003707;0.985839;0.851422;-0.250731;0.975761;-0.246641;0.088956;0.949054;
1.130211;0.626102;1.003636;0.985758;0.854995;-0.254635;0.976954;-0.238257;0.088894;0.950440;
1.132054;0.628187;1.003564;0.985680;0.858382;-0.258428;0.978106;-0.230214;0.088834;0.951765;
1.133897;0.630230;1.003492;0.985604;0.861590;-0.262114;0.979213;-0.222500;0.088777;0.953032;
1.135741;0.632230;1.003419;0.985532;0.864629;-0.265696;0.980276;-0.215103;0.088722;0.954244;
1.137584;0.634189;1.003347;0.985463;0.867506;-0.269177;0.981294;-0.208011;0.088669;0.955403;
1.139427;0.636106;1.003274;0.985396;0.870230;-0.272560;0.982266;-0.201211;0.088618;0.956511;
1.141270;0.637980;1.003201;0.985331;0.872809;-0.275847;0.983190;-0.194691;0.088569;0.957571;
1.143113;0.639813;1.003127;0.985269;0.875248;-0.279043;0.984067;-0.188441;0.088522;0.958585;
1.144957;0.641602;1.003054;0.985209;0.877556;-0.282149;0.984895;-0.182449;0.088476;0.959556;
1.146800;0.643349;1.002980;0.985152;0.879739;-0.285168;0.985674;-0.176705;0.088432;0.960485;
1.148643;0.645053;1.002906;0.985096;0.881802;-0.288103;0.986404;-0.171200;0.088390;0.961374;
1.150486;0.646715;1.002832;0.985041;0.883753;-0.290956;0.987083;-0.165922;0.088349;0.962225;
1.152329;0.648333;1.002758;0.984989;0.885596;-0.293729;0.987710;-0.160863;0.088309;0.963040;
1.154173;0.649909;1.002684;0.984938;0.887337;-0.296424;0.988287;-0.156014;0.088270;0.963820;
1.156016;0.651442;1.002609;0.984889;0.888981;-0.299045;0.988811;-0.151365;0.088233;0.964568;
1.157859;0.652931;1.002535;0.984841;0.890533;-0.301592;0.989283;-0.146910;0.088197;0.965284;
1.159702;0.654377;1.002460;0.984795;0.891998;-0.304068;0.989703;-0.142639;0.088161;0.965970;
1.161545;0.655780;1.002386;0.984750;0.893380;-0.306475;0.990069;-0.138544;0.088127;0.966628;
