time;GEN1A_generator_omegaPu;GEN1A_generator_PGenPu;GEN1A_generator_UPu;GEN1B_generator_omegaPu;GEN1B_generator_PGenPu;GEN1B_generator_UPu;GEN2A_generator_omegaPu;GEN2A_generator_PGenPu;GEN2A_generator_UPu;GEN2B_generator_omegaPu;GEN2B_generator_PGenPu;GEN2B_generator_UPu;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_1_value;OMEGA_REF_omegaRef_grp_2_value;OMEGA_REF_omegaRef_grp_3_value;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;NETWORK_GEN1A_BUS_numcc_value;NETWORK_GEN2A_BUS_numcc_value;
2.633001;1.020893;4.649872;1.077954;1.020908;3.239913;1.076285;1.019324;3.986264;0.907509;1.018722;3.777555;0.899942;1.020899;1.020899;1.019033;1.019033;1.020899;1.019033;0.000000;1.000000;
2.680182;1.021457;4.647521;1.078011;1.021585;3.242575;1.076285;1.019887;4.004455;0.907841;1.019251;3.767614;0.900892;1.021511;1.021511;1.019579;1.019579;1.021511;1.019579;0.000000;1.000000;
2.727363;1.022034;4.642327;1.078139;1.022236;3.248461;1.076286;1.020378;4.021235;0.908133;1.019851;3.758276;0.901756;1.022119;1.022119;1.020123;1.020123;1.022119;1.020123;0.000000;1.000000;
2.774545;1.022632;4.635829;1.078296;1.022850;3.255800;1.076285;1.020813;4.032941;0.908326;1.020511;3.751637;0.902350;1.022724;1.022724;1.020667;1.020667;1.022724;1.020667;0.000000;1.000000;
2.821726;1.023252;4.629716;1.078438;1.023424;3.262635;1.076278;1.021216;4.037232;0.908399;1.021204;3.749232;0.902569;1.023324;1.023324;1.021210;1.021210;1.023324;1.021210;0.000000;1.000000;
2.868908;1.023889;4.625825;1.078529;1.023967;3.267000;1.076275;1.021620;4.033056;0.908329;1.021895;3.751588;0.902357;1.023922;1.023922;1.021753;1.021753;1.023922;1.021753;0.000000;1.000000;
2.916089;1.024532;4.625244;1.078543;1.024498;3.267657;1.076275;1.022060;4.021488;0.908134;1.022551;3.758104;0.901767;1.024518;1.024518;1.022298;1.022298;1.024518;1.022298;0.000000;1.000000;
2.963271;1.025172;4.628079;1.078480;1.025036;3.264508;1.076280;1.022559;4.005285;0.907844;1.023147;3.767022;0.900925;1.025114;1.025114;1.022844;1.022844;1.025114;1.022844;0.000000;1.000000;
3.010452;1.025795;4.633260;1.078358;1.025602;3.258693;1.076284;1.023127;3.988713;0.907550;1.023674;3.776172;0.900066;1.025714;1.025714;1.023391;1.023391;1.025714;1.023391;0.000000;1.000000;
3.057634;1.026400;4.639258;1.078214;1.026204;3.251932;1.076286;1.023755;3.975240;0.907290;1.024140;3.783363;0.899349;1.026317;1.026317;1.023941;1.023941;1.026317;1.023941;0.000000;1.000000;
3.104815;1.026985;4.644393;1.078089;1.026841;3.246123;1.076286;1.024425;3.967820;0.907142;1.024566;3.787263;0.898950;1.026924;1.026924;1.024493;1.024493;1.026924;1.024493;0.000000;1.000000;
3.151996;1.027556;4.647349;1.078017;1.027504;3.242779;1.076286;1.025108;3.967941;0.907135;1.024978;3.787098;0.898949;1.027534;1.027534;1.025045;1.025045;1.027534;1.025045;0.000000;1.000000;
3.199178;1.028123;4.647259;1.078018;1.028174;3.242877;1.076286;1.025773;3.975703;0.907301;1.025406;3.783137;0.899375;1.028145;1.028145;1.025596;1.025596;1.028145;1.025596;0.000000;1.000000;
3.255365;1.028809;4.643584;1.078109;1.028954;3.247040;1.076286;1.026502;3.991263;0.907598;1.025978;3.774798;0.900201;1.028870;1.028870;1.026249;1.026249;1.028870;1.026249;0.000000;1.000000;
3.311552;1.029515;4.637655;1.078252;1.029696;3.253734;1.076285;1.027149;4.008973;0.907916;1.026632;3.765058;0.901122;1.029591;1.029591;1.026899;1.026899;1.029591;1.026899;0.000000;1.000000;
3.367740;1.030245;4.631764;1.078391;1.030395;3.260351;1.076281;1.027719;4.023438;0.908159;1.027364;3.756907;0.901859;1.030308;1.030308;1.027547;1.027547;1.030308;1.027547;0.000000;1.000000;
3.423927;1.030993;4.628051;1.078478;1.031060;3.264514;1.076278;1.028242;4.030573;0.908277;1.028146;3.752870;0.902221;1.031021;1.031021;1.028195;1.028195;1.031021;1.028195;0.000000;1.000000;
