time;MACHINE_machine_omegaPu;MACHINE_machine_UStatorPu;MACHINE_machine_PGenPu;BUSGEN_bus_p_v_0_;BUSHV_bus_p_v_0_;
0.004620;0.999991;1.009885;0.722381;-0.139127;-0.036506;
0.004640;0.999991;1.014372;0.723822;-0.148013;-0.045066;
0.004660;0.999991;1.018710;0.725025;-0.156833;-0.053645;
0.004680;0.999991;1.022890;0.725987;-0.165586;-0.062245;
0.004700;0.999991;1.026903;0.726705;-0.174273;-0.070864;
0.004720;0.999991;1.030743;0.727178;-0.182895;-0.079503;
0.004740;0.999991;1.034401;0.727404;-0.191452;-0.088159;
0.004760;0.999991;1.037870;0.727385;-0.199946;-0.096832;
0.004780;0.999990;1.041145;0.727119;-0.208378;-0.105518;
0.004800;0.999990;1.044218;0.726608;-0.216752;-0.114217;
0.004820;0.999990;1.047084;0.725854;-0.225068;-0.122925;
0.004840;0.999990;1.049738;0.724860;-0.233330;-0.131639;
0.004860;0.999990;1.052176;0.723629;-0.241541;-0.140357;
0.004880;0.999990;1.054392;0.722165;-0.249704;-0.149075;
0.004900;0.999990;1.056384;0.720473;-0.257822;-0.157789;
0.004920;0.999990;1.058147;0.718558;-0.265900;-0.166495;
0.004940;0.999990;1.059679;0.716425;-0.273940;-0.175190;
0.004960;0.999990;1.060978;0.714082;-0.281947;-0.183870;
0.004980;0.999990;1.062041;0.711535;-0.289924;-0.192531;
0.005000;0.999990;1.062868;0.708793;-0.297875;-0.201169;
0.005020;0.999990;1.063458;0.705863;-0.305804;-0.209780;
0.005040;0.999989;1.063809;0.702753;-0.313714;-0.218360;
0.005060;0.999989;1.063923;0.699474;-0.321608;-0.226905;
0.005080;0.999989;1.063799;0.696034;-0.329490;-0.235412;
0.005100;0.999989;1.063439;0.692443;-0.337363;-0.243877;
0.005120;0.999989;1.062844;0.688711;-0.345230;-0.252297;
0.005140;0.999989;1.062016;0.684848;-0.353092;-0.260670;
0.005160;0.999989;1.060958;0.680866;-0.360952;-0.268992;
0.005180;0.999989;1.059673;0.676774;-0.368812;-0.277261;
0.005200;0.999989;1.058162;0.672584;-0.376673;-0.285476;
0.005220;0.999989;1.056432;0.668306;-0.384535;-0.293634;
0.005240;0.999989;1.054484;0.663952;-0.392401;-0.301734;
0.005260;0.999989;1.052325;0.659533;-0.400270;-0.309775;
0.005280;0.999989;1.049959;0.655059;-0.408141;-0.317757;
0.005300;0.999989;1.047390;0.650541;-0.416014;-0.325680;
0.005320;0.999989;1.044626;0.645991;-0.423888;-0.333543;
0.005340;0.999989;1.041671;0.641418;-0.431761;-0.341347;
0.005360;0.999990;1.038533;0.636833;-0.439632;-0.349093;
0.005380;0.999990;1.035217;0.632246;-0.447499;-0.356782;
0.005400;0.999990;1.031731;0.627668;-0.455358;-0.364416;
0.005420;0.999990;1.028082;0.623107;-0.463208;-0.371996;
0.005440;0.999990;1.024277;0.618573;-0.471044;-0.379525;
0.005460;0.999990;1.020326;0.614076;-0.478864;-0.387006;
0.005480;0.999990;1.016234;0.609622;-0.486663;-0.394440;
0.005500;0.999990;1.012011;0.605222;-0.494438;-0.401831;
0.005520;0.999990;1.007666;0.600883;-0.502185;-0.409181;
0.005540;0.999990;1.003206;0.596611;-0.509899;-0.416493;
0.005560;0.999990;0.998641;0.592415;-0.517577;-0.423772;
0.005580;0.999990;0.993981;0.588301;-0.525214;-0.431019;
0.005600;0.999990;0.989233;0.584275;-0.532805;-0.438238;
0.005620;0.999990;0.984408;0.580344;-0.540348;-0.445433;
0.005640;0.999991;0.979514;0.576512;-0.547837;-0.452605;
0.005660;0.999991;0.974562;0.572785;-0.555268;-0.459760;
0.005680;0.999991;0.969561;0.569167;-0.562638;-0.466898;
0.005700;0.999991;0.964521;0.565663;-0.569943;-0.474023;
0.005720;0.999991;0.959452;0.562277;-0.577180;-0.481138;
0.005740;0.999991;0.954363;0.559012;-0.584347;-0.488244;
0.005760;0.999991;0.949264;0.555873;-0.591439;-0.495343;
0.005780;0.999991;0.944165;0.552861;-0.598455;-0.502438;
0.005800;0.999991;0.939077;0.549980;-0.605393;-0.509529;
