time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_edPPu;GEN_generator_psi2q;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_sePu;GEN_generator_UPu;
1.279715;1.023450;0.996779;0.780679;0.583721;-0.701707;0.729297;-0.035433;0.080681;0.988480;
1.283033;1.020082;0.996755;0.780639;0.584612;-0.703302;0.719447;-0.031375;0.081049;0.989275;
1.286351;1.016690;0.996735;0.780603;0.585385;-0.704773;0.709696;-0.027535;0.081369;0.990030;
1.289668;1.013280;0.996719;0.780571;0.586042;-0.706124;0.700050;-0.023908;0.081641;0.990748;
1.292986;1.009855;0.996707;0.780545;0.586590;-0.707359;0.690519;-0.020490;0.081868;0.991428;
1.296304;1.006419;0.996699;0.780523;0.587031;-0.708481;0.681111;-0.017276;0.082051;0.992071;
1.299622;1.002978;0.996695;0.780506;0.587368;-0.709492;0.671832;-0.014261;0.082191;0.992679;
1.302939;0.999534;0.996694;0.780494;0.587607;-0.710397;0.662690;-0.011440;0.082290;0.993252;
1.306257;0.996091;0.996698;0.780487;0.587751;-0.711198;0.653692;-0.008808;0.082350;0.993791;
1.309575;0.992655;0.996705;0.780485;0.587803;-0.711899;0.644847;-0.006360;0.082371;0.994297;
1.312893;0.989227;0.996716;0.780487;0.587767;-0.712502;0.636159;-0.004091;0.082357;0.994772;
1.316210;0.985813;0.996730;0.780495;0.587647;-0.713012;0.627636;-0.001995;0.082308;0.995215;
1.319528;0.982416;0.996748;0.780507;0.587446;-0.713430;0.619285;-0.000069;0.082226;0.995628;
1.322846;0.979039;0.996770;0.780524;0.587168;-0.713761;0.611111;0.001694;0.082113;0.996011;
1.326164;0.975686;0.996794;0.780546;0.586816;-0.714006;0.603120;0.003298;0.081969;0.996366;
1.329481;0.972361;0.996823;0.780573;0.586394;-0.714170;0.595317;0.004749;0.081798;0.996693;
1.332799;0.969066;0.996854;0.780605;0.585905;-0.714256;0.587708;0.006051;0.081600;0.996993;
1.336117;0.965806;0.996888;0.780641;0.585352;-0.714266;0.580298;0.007209;0.081377;0.997268;
1.339435;0.962583;0.996925;0.780682;0.584738;-0.714203;0.573092;0.008229;0.081130;0.997517;
1.342752;0.959400;0.996966;0.780728;0.584067;-0.714070;0.566093;0.009116;0.080862;0.997742;
1.346070;0.956261;0.997009;0.780778;0.583343;-0.713872;0.559306;0.009874;0.080573;0.997944;
1.349388;0.953168;0.997055;0.780833;0.582567;-0.713609;0.552735;0.010509;0.080265;0.998123;
1.352706;0.950125;0.997103;0.780892;0.581743;-0.713286;0.546383;0.011026;0.079940;0.998281;
1.356023;0.947133;0.997155;0.780956;0.580875;-0.712905;0.540253;0.011429;0.079599;0.998418;
1.359341;0.944196;0.997208;0.781024;0.579965;-0.712469;0.534348;0.011723;0.079242;0.998534;
1.362659;0.941317;0.997264;0.781096;0.579015;-0.711981;0.528670;0.011914;0.078873;0.998632;
1.365977;0.938497;0.997323;0.781173;0.578030;-0.711443;0.523223;0.012006;0.078492;0.998711;
1.369295;0.935738;0.997383;0.781254;0.577011;-0.710859;0.518007;0.012003;0.078100;0.998772;
1.372612;0.933045;0.997446;0.781338;0.575962;-0.710232;0.513024;0.011911;0.077699;0.998816;
1.375930;0.930417;0.997511;0.781427;0.574885;-0.709563;0.508277;0.011734;0.077289;0.998845;
1.379248;0.927858;0.997578;0.781520;0.573784;-0.708857;0.503764;0.011477;0.076873;0.998858;
1.382566;0.925370;0.997646;0.781616;0.572659;-0.708114;0.499488;0.011143;0.076451;0.998856;
1.385883;0.922953;0.997716;0.781717;0.571515;-0.707339;0.495449;0.010738;0.076024;0.998841;
