time;NL_G1_generator_omegaPu;NL_G1_generator_PGenPu;NL_G1_generator_QGenPu;NL_G1_generator_UPu;NL_G1_generator_efdPu;NL_G1_compensator_VcPu;NL_G1_pss_VPssPu;NL_G1_governor_PmPu;NL_G2_generator_omegaPu;NL_G2_generator_PGenPu;NL_G2_generator_QGenPu;NL_G2_generator_UPu;NL_G2_generator_efdPu;NL_G3_generator_omegaPu;NL_G3_generator_PGenPu;NL_G3_generator_QGenPu;NL_G3_generator_UPu;NL_G3_generator_efdPu;
1.006848;0.999997;5.983370;0.917960;1.017244;1.697378;1.017244;-0.013382;0.519789;0.999975;1.433264;0.773578;1.017244;1.827586;0.999974;1.533917;0.828168;1.017244;1.913143;
1.007104;0.999996;5.983011;0.918730;1.017272;1.697375;1.017272;-0.013721;0.519789;0.999973;1.433564;0.773331;1.017272;1.825062;0.999973;1.534229;0.827919;1.017272;1.905346;
1.007616;0.999996;5.982353;0.920199;1.017324;1.697369;1.017324;-0.014370;0.519789;0.999971;1.434128;0.772863;1.017324;1.819811;0.999971;1.534814;0.827446;1.017324;1.889851;
1.008640;0.999995;5.981257;0.922879;1.017422;1.697351;1.017422;-0.015559;0.519789;0.999966;1.435110;0.772018;1.017422;1.808565;0.999966;1.535837;0.826591;1.017422;1.859247;
1.009664;0.999993;5.980432;0.925241;1.017511;1.697329;1.017512;-0.016613;0.519789;0.999961;1.435915;0.771287;1.017511;1.796405;0.999961;1.536679;0.825848;1.017511;1.829154;
1.011712;0.999991;5.979448;0.929188;1.017665;1.697263;1.017665;-0.018380;0.519789;0.999951;1.437091;0.770100;1.017665;1.769918;0.999951;1.537919;0.824631;1.017665;1.770469;
1.013760;0.999988;5.979227;0.932246;1.017793;1.697166;1.017795;-0.019744;0.519789;0.999941;1.437766;0.769228;1.017793;1.741075;0.999940;1.538646;0.823719;1.017793;1.713747;
1.017856;0.999984;5.980327;0.936591;1.017990;1.696842;1.017990;-0.021603;0.519789;0.999920;1.438097;0.768101;1.017990;1.679840;0.999920;1.539046;0.822478;1.017990;1.605905;
1.021542;0.999979;5.982669;0.938958;1.018115;1.696382;1.018115;-0.022482;0.519789;0.999902;1.437494;0.767616;1.018115;1.622853;0.999901;1.538470;0.821849;1.018115;1.515003;
1.025229;0.999975;5.985809;0.940440;1.018206;1.695735;1.018206;-0.022851;0.519789;0.999884;1.436349;0.767423;1.018206;1.566805;0.999883;1.537318;0.821470;1.018206;1.429594;
1.028915;0.999970;5.989433;0.941407;1.018273;1.694880;1.018273;-0.022883;0.519789;0.999866;1.434863;0.767387;1.018273;1.513633;0.999865;1.535797;0.821204;1.018273;1.349355;
1.032602;0.999965;5.993335;0.942102;1.018321;1.693803;1.018321;-0.022699;0.519789;0.999848;1.433169;0.767421;1.018321;1.464665;0.999847;1.534038;0.820961;1.018321;1.273970;
1.036288;0.999961;5.997385;0.942677;1.018356;1.692497;1.018356;-0.022387;0.519789;0.999831;1.431352;0.767471;1.018356;1.420731;0.999829;1.532129;0.820685;1.018356;1.203141;
1.039974;0.999956;6.001499;0.943224;1.018380;1.690961;1.018380;-0.022005;0.519789;0.999814;1.429465;0.767503;1.018380;1.382264;0.999812;1.530122;0.820343;1.018380;1.136581;
