time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;
2.199870;1.049873;0.995797;0.757236;0.708819;-0.005687;0.993397;
2.205264;1.042733;0.995773;0.757224;0.696624;-0.008589;0.993152;
2.210658;1.035560;0.995757;0.757231;0.684486;-0.011545;0.992895;
2.216052;1.028366;0.995749;0.757255;0.672430;-0.014548;0.992625;
2.221446;1.021166;0.995749;0.757298;0.660481;-0.017592;0.992345;
2.226839;1.013973;0.995757;0.757357;0.648662;-0.020669;0.992054;
2.232233;1.006801;0.995774;0.757435;0.636996;-0.023772;0.991753;
2.237627;0.999664;0.995798;0.757529;0.625505;-0.026893;0.991443;
2.243021;0.992573;0.995830;0.757641;0.614210;-0.030024;0.991126;
2.248415;0.985543;0.995869;0.757769;0.603129;-0.033156;0.990803;
2.253809;0.978586;0.995916;0.757914;0.592280;-0.036282;0.990474;
2.259202;0.971715;0.995970;0.758075;0.581682;-0.039393;0.990142;
2.264596;0.964941;0.996031;0.758252;0.571349;-0.042479;0.989807;
2.269990;0.958276;0.996099;0.758444;0.561296;-0.045533;0.989471;
2.275384;0.951732;0.996174;0.758651;0.551537;-0.048545;0.989134;
2.280778;0.945320;0.996255;0.758873;0.542085;-0.051507;0.988799;
2.286172;0.939051;0.996342;0.759108;0.532950;-0.054411;0.988467;
2.291565;0.932935;0.996436;0.759358;0.524143;-0.057248;0.988139;
2.296959;0.926982;0.996535;0.759620;0.515672;-0.060010;0.987817;
2.302353;0.921202;0.996640;0.759895;0.507547;-0.062689;0.987501;
2.307747;0.915605;0.996750;0.760182;0.499773;-0.065278;0.987194;
2.313141;0.910198;0.996866;0.760481;0.492359;-0.067768;0.986896;
2.318535;0.904990;0.996986;0.760791;0.485308;-0.070154;0.986608;
2.323928;0.899990;0.997110;0.761112;0.478625;-0.072427;0.986333;
2.329322;0.895205;0.997240;0.761442;0.472315;-0.074583;0.986070;
2.334716;0.890642;0.997373;0.761782;0.466381;-0.076614;0.985822;
2.340110;0.886307;0.997510;0.762130;0.460824;-0.078516;0.985588;
2.345504;0.882208;0.997650;0.762487;0.455648;-0.080283;0.985370;
2.350898;0.878350;0.997794;0.762851;0.450853;-0.081910;0.985170;
2.356291;0.874738;0.997941;0.763223;0.446441;-0.083393;0.984987;
2.361685;0.871378;0.998091;0.763600;0.442412;-0.084729;0.984822;
2.367079;0.868273;0.998243;0.763984;0.438766;-0.085912;0.984676;
2.372473;0.865428;0.998398;0.764373;0.435504;-0.086942;0.984550;
2.377867;0.862847;0.998554;0.764766;0.432625;-0.087814;0.984445;
2.383261;0.860533;0.998713;0.765163;0.430128;-0.088527;0.984360;
2.388654;0.858487;0.998873;0.765564;0.428013;-0.089079;0.984296;
2.394048;0.856714;0.999034;0.765967;0.426278;-0.089468;0.984253;
2.399442;0.855215;0.999196;0.766372;0.424922;-0.089694;0.984231;
2.404836;0.853990;0.999359;0.766779;0.423945;-0.089756;0.984231;
2.415624;0.852370;0.999685;0.767594;0.423119;-0.089390;0.984297;
2.426411;0.851856;1.000011;0.768408;0.423785;-0.088374;0.984447;
2.437199;0.852441;1.000335;0.769215;0.425929;-0.086720;0.984683;
2.447987;0.854116;1.000655;0.770011;0.429538;-0.084443;0.984999;
2.458774;0.856863;1.000969;0.770792;0.434594;-0.081566;0.985393;
2.468483;0.860233;1.001244;0.771478;0.440369;-0.078487;0.985810;
2.477221;0.863976;1.001486;0.772079;0.446548;-0.075339;0.986232;
2.485959;0.868372;1.001720;0.772662;0.453641;-0.071857;0.986695;
2.493823;0.872869;1.001924;0.773170;0.460795;-0.068455;0.987144;
2.501688;0.877859;1.002120;0.773659;0.468666;-0.064819;0.987619;
2.508765;0.882757;1.002289;0.774083;0.476351;-0.061362;0.988066;
2.515843;0.888024;1.002452;0.774490;0.484592;-0.057745;0.988531;
2.522921;0.893644;1.002607;0.774878;0.493377;-0.053986;0.989008;
2.529291;0.898990;1.002739;0.775212;0.501736;-0.050494;0.989448;
2.535661;0.904594;1.002865;0.775530;0.510511;-0.046911;0.989895;
2.542031;0.910443;1.002984;0.775830;0.519688;-0.043252;0.990346;
2.548401;0.916522;1.003095;0.776114;0.529250;-0.039529;0.990800;
2.554771;0.922815;1.003198;0.776379;0.539183;-0.035756;0.991255;
2.561141;0.929307;1.003294;0.776626;0.549466;-0.031947;0.991708;
2.567511;0.935980;1.003380;0.776853;0.560082;-0.028114;0.992158;
2.573244;0.942130;1.003451;0.777041;0.569901;-0.024655;0.992558;
2.578977;0.948400;1.003515;0.777213;0.579957;-0.021200;0.992952;
2.584710;0.954779;1.003572;0.777369;0.590230;-0.017756;0.993339;
2.590443;0.961253;1.003621;0.777507;0.600702;-0.014335;0.993717;
2.596176;0.967809;1.003663;0.777629;0.611352;-0.010946;0.994084;
2.601909;0.974433;1.003696;0.777733;0.622160;-0.007598;0.994441;
2.607642;0.981110;1.003723;0.777820;0.633104;-0.004300;0.994785;
2.613375;0.987828;1.003741;0.777890;0.644160;-0.001060;0.995115;
2.619108;0.994572;1.003751;0.777942;0.655307;0.002112;0.995431;
2.624841;1.001327;1.003754;0.777976;0.666518;0.005210;0.995731;
2.630574;1.008079;1.003748;0.777992;0.677769;0.008225;0.996016;
2.636307;1.014814;1.003734;0.777991;0.689033;0.011151;0.996283;
2.642040;1.021516;1.003713;0.777973;0.700285;0.013981;0.996534;
2.647773;1.028173;1.003683;0.777936;0.711497;0.016710;0.996766;
2.653506;1.034769;1.003645;0.777883;0.722642;0.019333;0.996981;
2.659239;1.041290;1.003600;0.777812;0.733692;0.021844;0.997177;
2.664972;1.047722;1.003546;0.777724;0.744619;0.024240;0.997355;
2.670705;1.054051;1.003485;0.777620;0.755396;0.026518;0.997515;
2.676438;1.060263;1.003417;0.777499;0.765994;0.028675;0.997657;
2.682171;1.066344;1.003340;0.777363;0.776386;0.030709;0.997782;
2.687904;1.072282;1.003257;0.777210;0.786544;0.032618;0.997889;
2.693637;1.078063;1.003166;0.777042;0.796441;0.034402;0.997980;
2.699370;1.083674;1.003068;0.776860;0.806052;0.036061;0.998055;
2.705103;1.089104;1.002964;0.776663;0.815349;0.037594;0.998114;
2.710836;1.094339;1.002853;0.776452;0.824308;0.039003;0.998159;
2.716569;1.099370;1.002736;0.776228;0.832904;0.040288;0.998191;
2.722302;1.104184;1.002613;0.775991;0.841115;0.041452;0.998209;
2.728035;1.108772;1.002484;0.775743;0.848917;0.042497;0.998216;
2.733768;1.113122;1.002350;0.775483;0.856291;0.043424;0.998212;
2.739501;1.117227;1.002211;0.775212;0.863215;0.044237;0.998199;
2.745234;1.121076;1.002067;0.774931;0.869671;0.044938;0.998176;
2.750967;1.124663;1.001918;0.774641;0.875643;0.045531;0.998147;
2.756701;1.127978;1.001765;0.774343;0.881113;0.046018;0.998110;
2.762434;1.131015;1.001609;0.774037;0.886068;0.046404;0.998068;
2.768167;1.133768;1.001449;0.773724;0.890495;0.046690;0.998020;
2.773900;1.136230;1.001287;0.773405;0.894382;0.046880;0.997969;
2.779633;1.138398;1.001122;0.773081;0.897721;0.046978;0.997915;
2.785366;1.140267;1.000954;0.772752;0.900502;0.046986;0.997859;
2.791099;1.141832;1.000785;0.772420;0.902720;0.046907;0.997801;
2.796832;1.143092;1.000615;0.772085;0.904369;0.046743;0.997741;
2.802565;1.144044;1.000443;0.771749;0.905447;0.046497;0.997681;
2.808298;1.144687;1.000271;0.771411;0.905952;0.046171;0.997621;
2.819764;1.145046;0.999928;0.770738;0.905251;0.045290;0.997502;
2.831230;1.144174;0.999587;0.770072;0.902291;0.044109;0.997384;
2.842696;1.142087;0.999252;0.769419;0.897122;0.042634;0.997267;
2.853015;1.139192;0.998959;0.768849;0.890637;0.041058;0.997161;
2.862303;1.135784;0.998702;0.768353;0.883372;0.039438;0.997063;
2.870661;1.132088;0.998479;0.767923;0.875730;0.037815;0.996971;
2.879020;1.127817;0.998264;0.767512;0.867095;0.036034;0.996874;
2.886543;1.123501;0.998079;0.767160;0.858519;0.034296;0.996780;
2.894066;1.118758;0.997903;0.766826;0.849230;0.032428;0.996679;
2.900836;1.114140;0.997751;0.766542;0.840296;0.030635;0.996580;
2.907607;1.109209;0.997608;0.766276;0.830860;0.028735;0.996473;
2.914377;1.103981;0.997473;0.766026;0.820960;0.026729;0.996357;
2.921148;1.098476;0.997346;0.765796;0.810636;0.024617;0.996230;
2.927242;1.093297;0.997240;0.765605;0.801014;0.022628;0.996106;
2.933335;1.087921;0.997141;0.765430;0.791113;0.020555;0.995972;
2.939429;1.082364;0.997049;0.765272;0.780963;0.018400;0.995828;
2.945522;1.076640;0.996966;0.765131;0.770598;0.016165;0.995674;
2.951616;1.070763;0.996891;0.765007;0.760047;0.013854;0.995508;
2.957709;1.064750;0.996823;0.764900;0.749345;0.011469;0.995331;
2.963803;1.058616;0.996764;0.764812;0.738521;0.009014;0.995143;
2.969896;1.052378;0.996714;0.764741;0.727608;0.006493;0.994944;
