time;L_circuit_vBusA;L_circuit_vBusB;L_circuit_vBusC;L_circuit_iGenA;L_circuit_iGenB;L_circuit_iGenC;L_circuit_Wr;L_circuit_dtheta;L_circuit_Te;
0.003600;0.659833;0.629217;-1.289050;-0.163571;-0.147563;0.311135;1.000000;1.919862;0.604074;
0.003620;0.652907;0.636476;-1.289383;-0.161909;-0.149267;0.311176;1.000000;1.919862;0.604049;
0.003640;0.645954;0.643706;-1.289660;-0.160240;-0.150964;0.311205;1.000000;1.919862;0.604023;
0.003660;0.638974;0.650903;-1.289877;-0.158565;-0.152655;0.311220;1.000000;1.919862;0.603994;
0.003680;0.631967;0.658064;-1.290031;-0.156883;-0.154339;0.311222;1.000000;1.919862;0.603963;
0.003700;0.624933;0.665187;-1.290120;-0.155194;-0.156017;0.311210;1.000000;1.919862;0.603931;
0.003720;0.617873;0.672269;-1.290142;-0.153499;-0.157688;0.311186;1.000000;1.919862;0.603896;
0.003740;0.610786;0.679308;-1.290093;-0.151797;-0.159352;0.311149;1.000000;1.919862;0.603860;
0.003760;0.603672;0.686301;-1.289973;-0.150089;-0.161010;0.311098;1.000000;1.919862;0.603821;
0.003780;0.596532;0.693248;-1.289780;-0.148374;-0.162660;0.311035;1.000000;1.919862;0.603781;
0.003800;0.589367;0.700146;-1.289513;-0.146654;-0.164304;0.310958;1.000000;1.919862;0.603739;
0.003820;0.582175;0.706996;-1.289171;-0.144927;-0.165941;0.310868;1.000000;1.919862;0.603695;
0.003840;0.574958;0.713796;-1.288754;-0.143194;-0.167571;0.310765;1.000000;1.919862;0.603649;
0.003860;0.567716;0.720547;-1.288264;-0.141455;-0.169194;0.310648;1.000000;1.919862;0.603601;
0.003880;0.560450;0.727250;-1.287699;-0.139710;-0.170809;0.310519;1.000000;1.919862;0.603552;
0.003900;0.553159;0.733904;-1.287063;-0.137959;-0.172417;0.310376;1.000000;1.919862;0.603500;
0.003920;0.545845;0.740511;-1.286356;-0.136202;-0.174018;0.310221;1.000000;1.919862;0.603447;
0.003940;0.538507;0.747073;-1.285580;-0.134440;-0.175612;0.310052;1.000000;1.919862;0.603391;
0.003960;0.531147;0.753591;-1.284738;-0.132672;-0.177198;0.309870;1.000000;1.919862;0.603335;
0.003980;0.523764;0.760067;-1.283831;-0.130898;-0.178777;0.309676;1.000000;1.919862;0.603277;
0.004000;0.516360;0.766503;-1.282863;-0.129119;-0.180349;0.309468;1.000000;1.919862;0.603217;
0.004020;0.508934;0.772901;-1.281835;-0.127335;-0.181913;0.309248;1.000000;1.919862;0.603157;
0.004040;0.501487;0.779264;-1.280751;-0.125545;-0.183470;0.309016;1.000000;1.919862;0.603096;
0.004060;0.494019;0.785593;-1.279612;-0.123751;-0.185020;0.308771;1.000000;1.919862;0.603034;
