time;MACHINE_machine_omegaPu;MACHINE_machine_UStatorPu;MACHINE_machine_ifPu;MACHINE_machine_MdSatPPu;MACHINE_machine_MqSatPPu;MACHINE_machine_lambdaAirGapPu;
0.004460;1.000161;1.050455;0.731763;1.439760;1.389760;1.005251;
0.004480;1.000161;1.067955;0.734958;1.442886;1.392886;1.002885;
0.004500;1.000162;1.089861;0.738651;1.446460;1.396460;1.000150;
0.004520;1.000162;1.116338;0.742881;1.450501;1.400501;0.997020;
0.004540;1.000163;1.147238;0.747678;1.455015;1.405015;0.993474;
0.004560;1.000164;1.182065;0.753062;1.459998;1.409998;0.989497;
0.004580;1.000164;1.219968;0.759045;1.465429;1.415429;0.985082;
0.004600;1.000165;1.259780;0.765626;1.471275;1.421275;0.980231;
0.004620;1.000166;1.300074;0.772793;1.477490;1.427490;0.974956;
0.004640;1.000166;1.339243;0.780518;1.484014;1.434014;0.969280;
0.004660;1.000167;1.375592;0.788762;1.490775;1.440775;0.963234;
0.004680;1.000168;1.407417;0.797469;1.497696;1.447696;0.956861;
0.004700;1.000168;1.433089;0.806574;1.504693;1.454693;0.950214;
0.004720;1.000169;1.451123;0.815996;1.511678;1.461678;0.943353;
0.004740;1.000170;1.460240;0.825646;1.518566;1.468566;0.936347;
0.004760;1.000170;1.459425;0.835423;1.525276;1.475276;0.929273;
0.004780;1.000171;1.447967;0.845222;1.531733;1.481733;0.922211;
0.004800;1.000172;1.425500;0.854931;1.537869;1.487869;0.915244;
0.004820;1.000173;1.392034;0.864437;1.543626;1.493626;0.908460;
0.004840;1.000173;1.347985;0.873627;1.548958;1.498958;0.901942;
0.004860;1.000174;1.294198;0.882392;1.553827;1.503827;0.895775;
0.004880;1.000175;1.231973;0.890627;1.558207;1.508207;0.890037;
0.004900;1.000176;1.163095;0.898237;1.562080;1.512080;0.884801;
0.004920;1.000176;1.089868;0.905137;1.565434;1.515434;0.880133;
0.004940;1.000177;1.015143;0.911255;1.568267;1.518267;0.876089;
0.004960;1.000178;0.942336;0.916531;1.570578;1.520578;0.872716;
0.004980;1.000179;0.875375;0.920923;1.572374;1.522374;0.870048;
0.005000;1.000180;0.818487;0.924403;1.573662;1.523662;0.868109;
0.005020;1.000180;0.775723;0.926961;1.574452;1.524452;0.866909;
0.005040;1.000181;0.750149;0.928601;1.574756;1.524756;0.866448;
0.005060;1.000182;0.742959;0.929345;1.574587;1.524587;0.866710;
0.005080;1.000183;0.752998;0.929227;1.573959;1.523959;0.867672;
0.005100;1.000184;0.777086;0.928297;1.572888;1.522888;0.869297;
0.005120;1.000184;0.810950;0.926614;1.571391;1.521391;0.871539;
0.005140;1.000185;0.850204;0.924249;1.569489;1.519489;0.874347;
0.005160;1.000186;0.890993;0.921278;1.567204;1.517204;0.877658;
0.005180;1.000186;0.930262;0.917785;1.564561;1.514561;0.881408;
0.005200;1.000187;0.965782;0.913854;1.561588;1.511588;0.885528;
0.005220;1.000188;0.996077;0.909572;1.558320;1.508320;0.889948;
0.005240;1.000188;1.020313;0.905023;1.554790;1.504790;0.894597;
0.005260;1.000189;1.038189;0.900288;1.551038;1.501038;0.899409;
0.005280;1.000189;1.049840;0.895443;1.547104;1.497104;0.904317;
0.005300;1.000190;1.055740;0.890556;1.543030;1.493030;0.909263;
0.005320;1.000190;1.056616;0.885689;1.538857;1.488857;0.914193;
0.005340;1.000191;1.053372;0.880892;1.534626;1.484626;0.919061;
0.005360;1.000191;1.047002;0.876209;1.530375;1.480375;0.923827;
0.005380;1.000192;1.038518;0.871670;1.526136;1.476136;0.928463;
0.005400;1.000192;1.028885;0.867298;1.521939;1.471939;0.932946;
0.005420;1.000193;1.018958;0.863107;1.517804;1.467804;0.937263;
0.005440;1.000193;1.009450;0.859101;1.513748;1.463748;0.941408;
0.005460;1.000193;1.000898;0.855277;1.509777;1.459777;0.945382;
0.005480;1.000194;0.993669;0.851626;1.505895;1.455895;0.949195;
0.005500;1.000194;0.987964;0.848132;1.502094;1.452094;0.952859;
0.005520;1.000194;0.983852;0.844777;1.498365;1.448365;0.956392;
0.005540;1.000194;0.981296;0.841540;1.494692;1.444692;0.959813;
0.005560;1.000195;0.980188;0.838398;1.491059;1.441059;0.963143;
0.005580;1.000195;0.980375;0.835330;1.487446;1.437446;0.966404;
0.005600;1.000195;0.981674;0.832315;1.483834;1.433834;0.969615;
0.005620;1.000195;0.983882;0.829337;1.480208;1.430208;0.972792;
0.005640;1.000195;0.986779;0.826380;1.476554;1.426554;0.975946;
0.005660;1.000196;0.990130;0.823437;1.472864;1.422864;0.979087;
0.005680;1.000196;0.993686;0.820502;1.469139;1.419139;0.982213;
0.005700;1.000196;0.997201;0.817578;1.465386;1.415386;0.985320;
0.005720;1.000196;1.000457;0.814672;1.461620;1.411620;0.988394;
0.005740;1.000196;1.003292;0.811795;1.457868;1.407868;0.991418;
0.005760;1.000196;1.005652;0.808966;1.454164;1.404164;0.994364;
0.005780;1.000196;1.007636;0.806207;1.450555;1.400555;0.997200;
0.005800;1.000196;1.009545;0.803542;1.447094;1.397094;0.999888;
0.005820;1.000196;1.011923;0.801001;1.443842;1.393842;1.002386;
0.005840;1.000196;1.015572;0.798615;1.440869;1.390869;1.004647;
0.005860;1.000196;1.021538;0.796415;1.438247;1.388247;1.006623;
0.005880;1.000196;1.031049;0.794433;1.436050;1.386050;1.008267;
0.005900;1.000196;1.045412;0.792699;1.434352;1.384352;1.009529;
0.005920;1.000196;1.065851;0.791244;1.433220;1.383220;1.010366;
0.005940;1.000196;1.093337;0.790092;1.432718;1.382718;1.010735;
0.005960;1.000196;1.128423;0.789267;1.432896;1.382896;1.010600;
0.005980;1.000196;1.171124;0.788788;1.433793;1.383793;1.009933;
0.006000;1.000196;1.220882;0.788669;1.435430;1.385430;1.008713;
0.006020;1.000196;1.276601;0.788921;1.437813;1.387813;1.006927;
0.006040;1.000196;1.336740;0.789547;1.440929;1.390929;1.004572;
0.006060;1.000196;1.399442;0.790548;1.444747;1.394747;1.001658;
0.006080;1.000197;1.462670;0.791915;1.449216;1.399216;0.998201;
0.006100;1.000197;1.524323;0.793639;1.454272;1.404272;0.994230;
0.006120;1.000197;1.582344;0.795700;1.459834;1.409834;0.989783;
0.006140;1.000197;1.634799;0.798076;1.465812;1.415812;0.984906;
0.006160;1.000197;1.679944;0.800740;1.472107;1.422107;0.979655;
0.006180;1.000198;1.716275;0.803660;1.478619;1.428619;0.974092;
0.006200;1.000198;1.742566;0.806801;1.485243;1.435243;0.968284;
0.006220;1.000199;1.757895;0.810123;1.491882;1.441882;0.962302;
0.006240;1.000199;1.761659;0.813586;1.498443;1.448443;0.956220;
0.006260;1.000200;1.753584;0.817148;1.504840;1.454840;0.950113;
0.006280;1.000200;1.733728;0.820767;1.511000;1.461000;0.944054;
0.006300;1.000201;1.702466;0.824402;1.516861;1.466861;0.938115;
0.006320;1.000202;1.660479;0.828013;1.522373;1.472373;0.932362;
0.006340;1.000202;1.608728;0.831564;1.527497;1.477497;0.926857;
0.006360;1.000203;1.548429;0.835022;1.532205;1.482205;0.921655;
0.006380;1.000204;1.481011;0.838357;1.536480;1.486480;0.916803;
0.006400;1.000205;1.408080;0.841544;1.540315;1.490315;0.912342;
0.006420;1.000206;1.331372;0.844566;1.543709;1.493709;0.908301;
0.006440;1.000207;1.252704;0.847407;1.546669;1.496669;0.904702;
0.006460;1.000208;1.173917;0.850058;1.549207;1.499207;0.901559;
0.006480;1.000209;1.096818;0.852515;1.551339;1.501339;0.898876;
0.006500;1.000210;1.023113;0.854779;1.553086;1.503086;0.896649;
0.006520;1.000210;0.954336;0.856854;1.554469;1.504469;0.894865;
0.006540;1.000211;0.891770;0.858749;1.555514;1.505514;0.893507;
0.006560;1.000212;0.836372;0.860475;1.556245;1.506245;0.892551;
0.006580;1.000213;0.788710;0.862045;1.556692;1.506692;0.891966;
0.006600;1.000214;0.748927;0.863475;1.556881;1.506881;0.891721;
0.006620;1.000215;0.716752;0.864781;1.556840;1.506840;0.891780;
0.006640;1.000216;0.691559;0.865981;1.556596;1.506596;0.892106;
0.006660;1.000217;0.672474;0.867090;1.556178;1.506178;0.892662;
0.006680;1.000218;0.658498;0.868125;1.555609;1.505609;0.893413;
0.006700;1.000219;0.648621;0.869100;1.554916;1.504916;0.894324;
0.006720;1.000220;0.641907;0.870028;1.554118;1.504118;0.895365;
0.006740;1.000221;0.637538;0.870922;1.553236;1.503236;0.896508;
0.006760;1.000222;0.634826;0.871791;1.552286;1.502286;0.897732;
0.006780;1.000222;0.633199;0.872643;1.551280;1.501280;0.899019;
0.006800;1.000223;0.632182;0.873484;1.550226;1.500226;0.900357;
0.006820;1.000224;0.631384;0.874319;1.549129;1.499129;0.901738;
0.006840;1.000225;0.630487;0.875151;1.547991;1.497991;0.903161;
0.006860;1.000225;0.629254;0.875980;1.546806;1.496806;0.904629;
0.006880;1.000226;0.627543;0.876809;1.545569;1.495569;0.906149;
0.006900;1.000227;0.625328;0.877635;1.544269;1.494269;0.907734;
0.006920;1.000227;0.622715;0.878459;1.542892;1.492892;0.909396;
0.006940;1.000228;0.619951;0.879277;1.541424;1.491424;0.911153;
0.006960;1.000228;0.617418;0.880090;1.539847;1.489847;0.913020;
0.006980;1.000229;0.615602;0.880894;1.538145;1.488145;0.915016;
0.007000;1.000229;0.615041;0.881688;1.536299;1.486299;0.917156;
0.007020;1.000230;0.616248;0.882470;1.534292;1.484292;0.919453;
0.007040;1.000230;0.619627;0.883238;1.532111;1.482111;0.921919;
0.007060;1.000231;0.625391;0.883991;1.529742;1.479742;0.924561;
0.007080;1.000231;0.633502;0.884726;1.527177;1.477177;0.927381;
0.007100;1.000231;0.643653;0.885443;1.524411;1.474411;0.930376;
0.007120;1.000231;0.655295;0.886137;1.521444;1.471444;0.933537;
0.007140;1.000232;0.667713;0.886807;1.518283;1.468283;0.936850;
0.007160;1.000232;0.680115;0.887449;1.514939;1.464939;0.940294;
0.007180;1.000232;0.691756;0.888059;1.511432;1.461432;0.943843;
0.007200;1.000232;0.702046;0.888629;1.507790;1.457790;0.947464;
0.007220;1.000232;0.710662;0.889153;1.504044;1.454044;0.951121;
0.007240;1.000232;0.717642;0.889623;1.500238;1.450238;0.954771;
0.007260;1.000232;0.723465;0.890027;1.496419;1.446419;0.958370;
0.007280;1.000231;0.729095;0.890355;1.492641;1.442641;0.961870;
0.007300;1.000231;0.735976;0.890593;1.488963;1.438963;0.965223;
0.007320;1.000231;0.745958;0.890728;1.485447;1.435447;0.968379;
0.007340;1.000231;0.761116;0.890745;1.482156;1.432156;0.971291;
0.007360;1.000230;0.783476;0.890628;1.479154;1.429154;0.973914;
0.007380;1.000230;0.814690;0.890363;1.476499;1.426499;0.976207;
0.007400;1.000229;0.855735;0.889935;1.474247;1.424247;0.978134;
0.007420;1.000229;0.906749;0.889333;1.472444;1.422444;0.979663;
0.007440;1.000229;0.967027;0.888544;1.471127;1.421127;0.980772;
0.007460;1.000228;1.035170;0.887561;1.470323;1.420323;0.981445;
