time;NETWORK_B1_Urms;NETWORK_DL1_fict_Urms;NETWORK_DL1_Irms;
0.004460;0.962806;0.816760;0.163352;
0.004470;0.962831;0.816878;0.163376;
0.004480;0.962855;0.816995;0.163399;
0.004490;0.962879;0.817111;0.163422;
0.004500;0.962902;0.817226;0.163445;
0.004510;0.962925;0.817340;0.163468;
0.004520;0.962948;0.817453;0.163491;
0.004530;0.962970;0.817564;0.163513;
0.004540;0.962992;0.817675;0.163535;
0.004550;0.963014;0.817784;0.163557;
0.004560;0.963035;0.817893;0.163579;
0.004570;0.963056;0.818000;0.163600;
0.004580;0.963077;0.818106;0.163621;
0.004590;0.963097;0.818212;0.163642;
0.004600;0.963116;0.818316;0.163663;
0.004610;0.963135;0.818419;0.163684;
0.004620;0.963154;0.818521;0.163704;
0.004630;0.963172;0.818622;0.163724;
0.004640;0.963189;0.818722;0.163744;
0.004650;0.963206;0.818821;0.163764;
0.004660;0.963223;0.818919;0.163784;
0.004670;0.963239;0.819016;0.163803;
0.004680;0.963255;0.819112;0.163822;
0.004690;0.963270;0.819207;0.163841;
0.004700;0.963285;0.819301;0.163860;
0.004710;0.963299;0.819394;0.163879;
0.004720;0.963313;0.819486;0.163897;
0.004730;0.963326;0.819577;0.163915;
0.004740;0.963339;0.819667;0.163933;
0.004750;0.963351;0.819756;0.163951;
0.004760;0.963363;0.819844;0.163969;
0.004770;0.963374;0.819931;0.163986;
0.004780;0.963385;0.820017;0.164003;
0.004790;0.963395;0.820102;0.164020;
0.004800;0.963405;0.820186;0.164037;
0.004810;0.963415;0.820269;0.164054;
0.004820;0.963424;0.820352;0.164070;
0.004830;0.963432;0.820433;0.164087;
0.004840;0.963441;0.820513;0.164103;
0.004850;0.963448;0.820592;0.164118;
0.004860;0.963456;0.820671;0.164134;
0.004870;0.963463;0.820748;0.164150;
0.004880;0.963470;0.820825;0.164165;
0.004890;0.963476;0.820900;0.164180;
0.004900;0.963482;0.820975;0.164195;
0.004910;0.963487;0.821049;0.164210;
0.004920;0.963493;0.821121;0.164224;
0.004930;0.963498;0.821193;0.164239;
0.004940;0.963502;0.821264;0.164253;
0.004950;0.963507;0.821334;0.164267;
0.004960;0.963511;0.821403;0.164281;
0.004970;0.963514;0.821471;0.164294;
0.004980;0.963518;0.821538;0.164308;
0.004990;0.963521;0.821605;0.164321;
0.005000;0.963524;0.821670;0.164334;
0.005010;0.963527;0.821735;0.164347;
0.005020;0.963529;0.821799;0.164360;
0.005030;0.963532;0.821861;0.164372;
0.005040;0.963534;0.821923;0.164385;
0.005050;0.963536;0.821984;0.164397;
0.005060;0.963537;0.822045;0.164409;
0.005070;0.963539;0.822104;0.164421;
0.005080;0.963540;0.822162;0.164432;
0.005090;0.963541;0.822220;0.164444;
0.005100;0.963542;0.822277;0.164455;
0.005110;0.963543;0.822333;0.164467;
