time;GEN_generator_omegaPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;GEN_generator_delta;LOAD_load_PPu;LOAD_load_QPu;OMEGA_REF_setPoint_setPoint;NETWORK_BUS_Upu_value;
5.701920;0.935331;1.200000;0.199970;0.990596;-61.651237;1.200000;0.200000;1.000000;0.990596;
5.734688;0.935100;1.200000;0.199857;0.990619;-62.318149;1.200000;0.200000;1.000000;0.990619;
5.751072;0.934985;1.200000;0.199968;0.990597;-62.652495;1.200000;0.200000;1.000000;0.990597;
5.783840;0.934757;1.200000;0.199847;0.990621;-63.322953;1.200000;0.200000;1.000000;0.990621;
5.800224;0.934643;1.200000;0.199966;0.990597;-63.659063;1.200000;0.200000;1.000000;0.990597;
5.832992;0.934417;1.200000;0.199836;0.990623;-64.333033;1.200000;0.200000;1.000000;0.990623;
5.849376;0.934304;1.200000;0.199964;0.990598;-64.670891;1.200000;0.200000;1.000000;0.990598;
5.882144;0.934080;1.200000;0.199825;0.990625;-65.348338;1.200000;0.200000;1.000000;0.990625;
5.898528;0.933969;1.200000;0.199962;0.990598;-65.687926;1.200000;0.200000;1.000000;0.990598;
5.931296;0.933747;1.200000;0.199813;0.990627;-66.368816;1.200000;0.200000;1.000000;0.990627;
5.947680;0.933636;1.200000;0.199960;0.990598;-66.710117;1.200000;0.200000;1.000000;0.990598;
5.980448;0.933417;1.200000;0.199801;0.990629;-67.394417;1.200000;0.200000;1.000000;0.990629;
5.996832;0.933307;1.200000;0.199958;0.990599;-67.737415;1.200000;0.200000;1.000000;0.990599;
6.029600;0.933090;1.200000;0.199788;0.990631;-68.425091;1.200000;0.200000;1.000000;0.990631;
6.045984;0.932981;1.200000;0.199956;0.990599;-68.769768;1.200000;0.200000;1.000000;0.990599;
6.078752;0.932766;1.200000;0.199775;0.990634;-69.460787;1.200000;0.200000;1.000000;0.990634;
6.095136;0.932659;1.200000;0.199953;0.990600;-69.807128;1.200000;0.200000;1.000000;0.990600;
6.127904;0.932445;1.200000;0.199762;0.990636;-70.501458;1.200000;0.200000;1.000000;0.990636;
6.144288;0.932339;1.200000;0.199951;0.990600;-70.849446;1.200000;0.200000;1.000000;0.990600;
6.177056;0.932128;1.200000;0.199747;0.990639;-71.547054;1.200000;0.200000;1.000000;0.990639;
6.193440;0.932023;1.200000;0.199948;0.990600;-71.896673;1.200000;0.200000;1.000000;0.990600;
6.226208;0.931814;1.200000;0.199733;0.990641;-72.597527;1.200000;0.200000;1.000000;0.990641;
6.242592;0.931710;1.200000;0.199945;0.990601;-72.948761;1.200000;0.200000;1.000000;0.990601;
6.250784;0.931658;1.200000;0.199993;0.990592;-73.124579;1.200000;0.200000;1.000000;0.990592;
6.267168;0.931554;1.200000;0.199979;0.990594;-73.476615;1.200000;0.200000;1.000000;0.990594;
6.299936;0.931348;1.200000;0.199935;0.990604;-74.182280;1.200000;0.200000;1.000000;0.990604;
6.316320;0.931246;1.200000;0.199941;0.990602;-74.535907;1.200000;0.200000;1.000000;0.990602;
6.324512;0.931194;1.200000;0.199993;0.990592;-74.712918;1.200000;0.200000;1.000000;0.990592;
